i j cap
0 9 1000.000000
9 0 1000.000000
0 8 1000.000000
8 0 1000.000000
0 55 1000.000000
55 0 1000.000000
0 56 1000.000000
56 0 1000.000000
0 1 1000.000000
1 0 1000.000000
1 57 1000.000000
57 1 1000.000000
2 47 1000.000000
47 2 1000.000000
2 77 1000.000000
77 2 1000.000000
3 4 1000.000000
4 3 1000.000000
3 39 1000.000000
39 3 1000.000000
3 78 1000.000000
78 3 1000.000000
3 37 1000.000000
37 3 1000.000000
3 76 1000.000000
76 3 1000.000000
4 7 1000.000000
7 4 1000.000000
4 6 1000.000000
6 4 1000.000000
4 5 1000.000000
5 4 1000.000000
4 76 1000.000000
76 4 1000.000000
5 38 1000.000000
38 5 1000.000000
6 71 1000.000000
71 6 1000.000000
6 70 1000.000000
70 6 1000.000000
6 54 1000.000000
54 6 1000.000000
7 8 1000.000000
8 7 1000.000000
8 55 1000.000000
55 8 1000.000000
8 76 1000.000000
76 8 1000.000000
9 55 1000.000000
55 9 1000.000000
10 11 1000.000000
11 10 1000.000000
10 16 1000.000000
16 10 1000.000000
10 94 1000.000000
94 10 1000.000000
10 13 1000.000000
13 10 1000.000000
11 16 1000.000000
16 11 1000.000000
11 94 1000.000000
94 11 1000.000000
11 13 1000.000000
13 11 1000.000000
12 18 1000.000000
18 12 1000.000000
12 13 1000.000000
13 12 1000.000000
14 74 1000.000000
74 14 1000.000000
14 17 1000.000000
17 14 1000.000000
15 39 1000.000000
39 15 1000.000000
15 87 1000.000000
87 15 1000.000000
16 94 1000.000000
94 16 1000.000000
17 36 1000.000000
36 17 1000.000000
18 32 1000.000000
32 18 1000.000000
18 31 1000.000000
31 18 1000.000000
18 94 1000.000000
94 18 1000.000000
19 22 1000.000000
22 19 1000.000000
19 21 1000.000000
21 19 1000.000000
19 20 1000.000000
20 19 1000.000000
20 25 1000.000000
25 20 1000.000000
21 73 1000.000000
73 21 1000.000000
22 95 1000.000000
95 22 1000.000000
23 26 1000.000000
26 23 1000.000000
23 24 1000.000000
24 23 1000.000000
