s t k edges
57 50 0 57-1,1-0,0-8,8-76,76-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50
57 50 1 57-56,56-58,58-75,75-54,54-6,6-4,4-3,3-39,39-101,101-46,46-80,80-79,79-24,24-25,25-20,20-19,19-22,22-95,95-50
57 50 2 57-56,56-0,0-8,8-76,76-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50
39 70 0 39-3,3-4,4-6,6-70
39 70 1 39-65,65-64,64-71,71-6,6-54,54-70
39 70 2 39-65,65-64,64-71,71-6,6-70
43 3 0 43-39,39-3
43 3 1 43-42,42-49,49-48,48-46,46-47,47-2,2-77,77-78,78-3
43 3 2 43-39,39-38,38-5,5-4,4-3
63 76 0 63-62,62-55,55-8,8-76
63 76 1 63-60,60-61,61-58,58-75,75-54,54-6,6-4,4-76
63 76 2 63-62,62-54,54-6,6-4,4-76
29 44 0 29-31,31-18,18-94,94-52,52-45,45-44
29 44 1 29-69,69-71,71-64,64-65,65-39,39-43,43-42,42-44
29 44 2 29-93,93-66,66-67,67-94,94-52,52-45,45-44
33 41 0 33-41
33 41 1 33-34,34-35,35-36,36-17,17-14,14-74,74-41
33 41 2 33-34,34-35,35-36,36-37,37-3,3-39,39-74,74-41
90 42 0 90-68,68-67,67-94,94-52,52-45,45-44,44-42
90 42 1 90-69,69-71,71-64,64-65,65-39,39-43,43-42
90 42 2 90-92,92-91,91-71,71-6,6-4,4-3,3-39,39-101,101-46,46-48,48-49,49-42
80 12 0 80-46,46-101,101-39,39-52,52-94,94-18,18-12
80 12 1 80-79,79-24,24-82,82-81,81-42,42-43,43-39,39-65,65-88,88-89,89-94,94-11,11-13,13-12
80 12 2 80-46,46-41,41-74,74-39,39-52,52-94,94-18,18-12
9 0 0 9-0
9 0 1 9-55,55-0
9 0 2 9-55,55-8,8-0
86 22 0 86-79,79-24,24-25,25-20,20-19,19-22
86 22 1 86-85,85-23,23-26,26-73,73-72,72-53,53-50,50-95,95-22
86 22 2 86-85,85-23,23-24,24-25,25-20,20-19,19-22
52 98 0 52-45,45-44,44-42,42-81,81-82,82-24,24-25,25-20,20-19,19-22,22-95,95-96,96-97,97-98
52 98 1 52-39,39-101,101-47,47-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50,50-100,100-99,99-98
52 98 2 52-39,39-43,43-42,42-81,81-82,82-24,24-25,25-20,20-19,19-22,22-95,95-96,96-97,97-98
15 30 0 15-87,87-88,88-89,89-102,102-30
15 30 1 15-39,39-52,52-94,94-18,18-32,32-30
15 30 2 15-87,87-52,52-94,94-18,18-32,32-30
56 101 0 56-0,0-8,8-76,76-3,3-39,39-101
56 101 1 56-58,58-75,75-54,54-6,6-4,4-3,3-78,78-83,83-84,84-47,47-101
56 101 2 56-57,57-1,1-0,0-55,55-8,8-7,7-4,4-5,5-38,38-39,39-74,74-41,41-46,46-101
19 91 0 19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-65,65-64,64-71,71-91
19 91 1 19-21,21-73,73-26,26-23,23-85,85-84,84-47,47-101,101-39,39-52,52-94,94-67,67-68,68-90,90-92,92-91
19 91 2 19-20,20-25,25-24,24-79,79-80,80-46,46-101,101-39,39-65,65-64,64-71,71-91
76 88 0 76-3,3-39,39-65,65-88
76 88 1 76-4,4-5,5-38,38-39,39-15,15-87,87-88
76 88 2 76-8,8-7,7-4,4-6,6-71,71-64,64-67,67-94,94-89,89-88
42 88 0 42-43,43-39,39-65,65-88
42 88 1 42-44,44-45,45-52,52-87,87-88
42 88 2 42-49,49-48,48-46,46-101,101-39,39-52,52-94,94-89,89-88
5 84 0 5-4,4-3,3-78,78-83,83-84
5 84 1 5-38,38-39,39-101,101-47,47-84
5 84 2 5-4,4-76,76-3,3-78,78-83,83-84
62 31 0 62-54,54-6,6-71,71-69,69-29,29-31
62 31 1 62-55,55-8,8-76,76-3,3-39,39-52,52-94,94-18,18-31
62 31 2 62-63,63-60,60-61,61-58,58-56,56-0,0-8,8-7,7-4,4-5,5-38,38-39,39-65,65-88,88-89,89-102,102-30,30-31
52 17 0 52-39,39-74,74-14,14-17
52 17 1 52-87,87-15,15-39,39-3,3-37,37-36,36-17
52 17 2 52-39,39-3,3-37,37-36,36-17
8 87 0 8-76,76-3,3-39,39-52,52-87
8 87 1 8-7,7-4,4-5,5-38,38-39,39-15,15-87
8 87 2 8-55,55-75,75-54,54-6,6-71,71-64,64-65,65-88,88-87
28 10 0 28-82,82-81,81-42,42-43,43-39,39-52,52-94,94-10
28 10 1 28-27,27-24,24-79,79-80,80-46,46-101,101-39,39-65,65-88,88-89,89-94,94-16,16-10
28 10 2 28-82,82-81,81-42,42-44,44-45,45-52,52-94,94-10
85 87 0 85-84,84-47,47-101,101-39,39-15,15-87
85 87 1 85-86,86-79,79-80,80-46,46-41,41-74,74-39,39-52,52-87
85 87 2 85-23,23-24,24-82,82-81,81-42,42-43,43-39,39-65,65-88,88-87
32 77 0 32-18,18-94,94-52,52-39,39-101,101-47,47-2,2-77
32 77 1 32-30,30-29,29-69,69-71,71-6,6-4,4-3,3-78,78-77
32 77 2 32-18,18-94,94-52,52-39,39-3,3-78,78-77
14 77 0 14-17,17-36,36-37,37-3,3-78,78-77
14 77 1 14-74,74-39,39-101,101-47,47-2,2-77
14 77 2 14-74,74-39,39-3,3-78,78-77
71 100 0 71-6,6-4,4-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50,50-100
71 100 1 71-64,64-65,65-39,39-101,101-46,46-80,80-79,79-24,24-25,25-20,20-19,19-22,22-95,95-96,96-97,97-98,98-99,99-100
71 100 2 71-64,64-65,65-39,39-101,101-47,47-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50,50-100
75 97 0 75-54,54-6,6-4,4-3,3-39,39-101,101-46,46-80,80-79,79-24,24-25,25-20,20-19,19-22,22-95,95-96,96-97
75 97 1 75-55,55-8,8-76,76-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50,50-100,100-99,99-98,98-97
75 97 2 75-54,54-6,6-4,4-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50,50-95,95-96,96-97
4 35 0 4-3,3-37,37-36,36-35
4 35 1 4-76,76-3,3-39,39-74,74-41,41-33,33-34,34-35
4 35 2 4-76,76-3,3-37,37-36,36-35
8 38 0 8-76,76-3,3-39,39-38
8 38 1 8-7,7-4,4-5,5-38
8 38 2 8-76,76-4,4-5,5-38
65 11 0 65-88,88-89,89-94,94-11
65 11 1 65-64,64-67,67-94,94-10,10-11
65 11 2 65-39,39-52,52-94,94-16,16-11
85 56 0 85-84,84-83,83-78,78-3,3-76,76-8,8-0,0-56
85 56 1 85-86,86-79,79-80,80-46,46-101,101-39,39-3,3-4,4-6,6-54,54-75,75-58,58-56
85 56 2 85-23,23-24,24-82,82-81,81-42,42-43,43-39,39-38,38-5,5-4,4-7,7-8,8-55,55-0,0-1,1-57,57-56
41 34 0 41-33,33-34
41 34 1 41-74,74-14,14-17,17-36,36-35,35-34
41 34 2 41-74,74-39,39-3,3-37,37-36,36-35,35-34
61 63 0 61-60,60-63
61 63 1 61-58,58-75,75-54,54-62,62-63
61 63 2 61-58,58-75,75-55,55-62,62-63
88 67 0 88-65,65-64,64-67
88 67 1 88-89,89-102,102-66,66-67
88 67 2 88-87,87-52,52-94,94-67
17 57 0 17-36,36-37,37-3,3-76,76-8,8-0,0-1,1-57
17 57 1 17-14,14-74,74-39,39-3,3-4,4-7,7-8,8-55,55-0,0-56,56-57
17 57 2 17-36,36-37,37-3,3-76,76-8,8-0,0-56,56-57
37 54 0 37-3,3-4,4-6,6-54
37 54 1 37-36,36-17,17-14,14-74,74-39,39-3,3-76,76-8,8-55,55-75,75-54
37 54 2 37-3,3-76,76-4,4-6,6-54
94 57 0 94-52,52-39,39-3,3-76,76-8,8-0,0-1,1-57
94 57 1 94-67,67-64,64-71,71-6,6-54,54-75,75-58,58-56,56-57
94 57 2 94-52,52-39,39-3,3-76,76-8,8-0,0-56,56-57
98 36 0 98-99,99-100,100-50,50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-37,37-36
98 36 1 98-97,97-96,96-95,95-22,22-19,19-20,20-25,25-24,24-79,79-80,80-46,46-41,41-74,74-14,14-17,17-36
98 36 2 98-99,99-100,100-50,50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-47,47-101,101-39,39-3,3-37,37-36
74 13 0 74-39,39-52,52-94,94-10,10-13
74 13 1 74-41,41-46,46-101,101-39,39-65,65-88,88-89,89-94,94-11,11-13
74 13 2 74-14,14-17,17-36,36-37,37-3,3-4,4-6,6-71,71-64,64-67,67-94,94-18,18-12,12-13
3 11 0 3-39,39-52,52-94,94-11
3 11 1 3-4,4-6,6-71,71-64,64-67,67-94,94-10,10-11
3 11 2 3-76,76-4,4-5,5-38,38-39,39-65,65-88,88-89,89-94,94-16,16-11
97 17 0 97-96,96-95,95-22,22-19,19-20,20-25,25-24,24-79,79-80,80-46,46-41,41-74,74-14,14-17
97 17 1 97-98,98-99,99-100,100-50,50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-37,37-36,36-17
97 17 2 97-96,96-95,95-22,22-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-74,74-14,14-17
23 84 0 23-85,85-84
23 84 1 23-24,24-79,79-80,80-46,46-47,47-84
23 84 2 23-26,26-73,73-21,21-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-3,3-78,78-83,83-84
84 102 0 84-47,47-101,101-39,39-65,65-88,88-89,89-102
84 102 1 84-83,83-78,78-3,3-4,4-6,6-71,71-69,69-29,29-30,30-102
84 102 2 84-85,85-23,23-24,24-82,82-81,81-42,42-43,43-39,39-52,52-94,94-67,67-66,66-102
50 18 0 50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-47,47-101,101-39,39-52,52-94,94-18
50 18 1 50-95,95-22,22-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-65,65-88,88-89,89-102,102-30,30-32,32-18
50 18 2 50-95,95-22,22-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-52,52-94,94-18
70 81 0 70-6,6-4,4-3,3-39,39-43,43-42,42-81
70 81 1 70-54,54-6,6-71,71-64,64-65,65-39,39-101,101-46,46-80,80-79,79-24,24-82,82-81
70 81 2 70-54,54-6,6-4,4-3,3-39,39-43,43-42,42-81
40 4 0 40-41,41-74,74-39,39-3,3-4
40 4 1 40-49,49-42,42-43,43-39,39-38,38-5,5-4
40 4 2 40-49,49-42,42-43,43-39,39-3,3-4
93 15 0 93-66,66-102,102-89,89-88,88-87,87-15
93 15 1 93-69,69-71,71-64,64-65,65-39,39-15
93 15 2 93-66,66-67,67-64,64-65,65-39,39-15
46 30 0 46-101,101-39,39-65,65-88,88-89,89-102,102-30
46 30 1 46-41,41-74,74-39,39-52,52-94,94-18,18-32,32-30
46 30 2 46-47,47-2,2-77,77-78,78-3,3-4,4-6,6-71,71-69,69-29,29-30
12 90 0 12-18,18-31,31-29,29-69,69-90
12 90 1 12-13,13-11,11-94,94-67,67-68,68-90
12 90 2 12-18,18-94,94-67,67-68,68-90
16 29 0 16-94,94-18,18-31,31-29
16 29 1 16-10,10-94,94-67,67-66,66-93,93-29
16 29 2 16-11,11-94,94-89,89-102,102-30,30-29
73 92 0 73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-4,4-6,6-71,71-91,91-92
73 92 1 73-21,21-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-52,52-94,94-67,67-68,68-90,90-92
73 92 2 73-26,26-23,23-85,85-84,84-47,47-101,101-39,39-65,65-64,64-71,71-91,91-92
36 80 0 36-17,17-14,14-74,74-41,41-46,46-80
36 80 1 36-37,37-3,3-78,78-83,83-84,84-85,85-86,86-79,79-80
36 80 2 36-35,35-34,34-33,33-41,41-46,46-80
2 64 0 2-47,47-101,101-39,39-65,65-64
2 64 1 2-77,77-78,78-3,3-4,4-6,6-71,71-64
2 64 2 2-77,77-78,78-3,3-39,39-65,65-64
22 7 0 22-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-3,3-4,4-7
22 7 1 22-95,95-50,50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-76,76-8,8-7
