i j cap
0 6 1000.000000
6 0 1000.000000
0 21 1000.000000
21 0 1000.000000
1 64 1000.000000
64 1 1000.000000
1 103 1000.000000
103 1 1000.000000
2 3 1000.000000
3 2 1000.000000
2 90 1000.000000
90 2 1000.000000
3 4 1000.000000
4 3 1000.000000
4 93 1000.000000
93 4 1000.000000
5 83 1000.000000
83 5 1000.000000
5 91 1000.000000
91 5 1000.000000
6 58 1000.000000
58 6 1000.000000
7 8 1000.000000
8 7 1000.000000
7 52 1000.000000
52 7 1000.000000
8 14 1000.000000
14 8 1000.000000
9 15 1000.000000
15 9 1000.000000
9 14 1000.000000
14 9 1000.000000
10 13 1000.000000
13 10 1000.000000
10 100 1000.000000
100 10 1000.000000
11 103 1000.000000
103 11 1000.000000
11 100 1000.000000
100 11 1000.000000
12 13 1000.000000
13 12 1000.000000
12 101 1000.000000
101 12 1000.000000
14 35 1000.000000
35 14 1000.000000
15 53 1000.000000
53 15 1000.000000
16 58 1000.000000
58 16 1000.000000
16 32 1000.000000
32 16 1000.000000
17 73 1000.000000
73 17 1000.000000
17 48 1000.000000
48 17 1000.000000
17 72 1000.000000
72 17 1000.000000
18 73 1000.000000
73 18 1000.000000
18 48 1000.000000
48 18 1000.000000
18 72 1000.000000
72 18 1000.000000
19 23 1000.000000
23 19 1000.000000
19 22 1000.000000
22 19 1000.000000
20 32 1000.000000
32 20 1000.000000
20 31 1000.000000
31 20 1000.000000
21 24 1000.000000
24 21 1000.000000
22 96 1000.000000
96 22 1000.000000
22 78 1000.000000
78 22 1000.000000
23 24 1000.000000
24 23 1000.000000
24 79 1000.000000
79 24 1000.000000
25 95 1000.000000
95 25 1000.000000
25 29 1000.000000
29 25 1000.000000
25 94 1000.000000
94 25 1000.000000
25 28 1000.000000
28 25 1000.000000
25 26 1000.000000
26 25 1000.000000
25 92 1000.000000
92 25 1000.000000
26 27 1000.000000
27 26 1000.000000
27 28 1000.000000
28 27 1000.000000
29 30 1000.000000
30 29 1000.000000
30 93 1000.000000
93 30 1000.000000
31 38 1000.000000
38 31 1000.000000
33 34 1000.000000
34 33 1000.000000
33 36 1000.000000
36 33 1000.000000
34 39 1000.000000
39 34 1000.000000
35 36 1000.000000
36 35 1000.000000
37 40 1000.000000
40 37 1000.000000
37 38 1000.000000
38 37 1000.000000
39 40 1000.000000
40 39 1000.000000
40 105 1000.000000
105 40 1000.000000
41 48 1000.000000
48 41 1000.000000
41 84 1000.000000
84 41 1000.000000
42 43 1000.000000
43 42 1000.000000
42 84 1000.000000
84 42 1000.000000
43 44 1000.000000
44 43 1000.000000
44 112 1000.000000
112 44 1000.000000
44 71 1000.000000
71 44 1000.000000
44 45 1000.000000
45 44 1000.000000
45 98 1000.000000
98 45 1000.000000
46 47 1000.000000
47 46 1000.000000
46 69 1000.000000
69 46 1000.000000
47 98 1000.000000
98 47 1000.000000
49 50 1000.000000
50 49 1000.000000
49 56 1000.000000
56 49 1000.000000
50 51 1000.000000
51 50 1000.000000
51 88 1000.000000
88 51 1000.000000
52 83 1000.000000
83 52 1000.000000
52 88 1000.000000
88 52 1000.000000
53 113 1000.000000
113 53 1000.000000
53 55 1000.000000
55 53 1000.000000
54 98 1000.000000
98 54 1000.000000
54 113 1000.000000
113 54 1000.000000
55 89 1000.000000
89 55 1000.000000
56 89 1000.000000
89 56 1000.000000
57 87 1000.000000
87 57 1000.000000
57 60 1000.000000
60 57 1000.000000
58 59 1000.000000
59 58 1000.000000
58 105 1000.000000
105 58 1000.000000
59 100 1000.000000
100 59 1000.000000
60 78 1000.000000
78 60 1000.000000
61 67 1000.000000
67 61 1000.000000
61 62 1000.000000
62 61 1000.000000
61 77 1000.000000
77 61 1000.000000
62 86 1000.000000
86 62 1000.000000
63 106 1000.000000
106 63 1000.000000
63 64 1000.000000
64 63 1000.000000
65 67 1000.000000
67 65 1000.000000
65 106 1000.000000
106 65 1000.000000
66 99 1000.000000
99 66 1000.000000
66 113 1000.000000
113 66 1000.000000
67 99 1000.000000
99 67 1000.000000
67 101 1000.000000
101 67 1000.000000
68 86 1000.000000
86 68 1000.000000
68 69 1000.000000
69 68 1000.000000
69 99 1000.000000
99 69 1000.000000
70 73 1000.000000
73 70 1000.000000
70 71 1000.000000
71 70 1000.000000
72 75 1000.000000
75 72 1000.000000
74 75 1000.000000
75 74 1000.000000
74 85 1000.000000
85 74 1000.000000
76 77 1000.000000
77 76 1000.000000
76 85 1000.000000
85 76 1000.000000
79 82 1000.000000
82 79 1000.000000
80 81 1000.000000
81 80 1000.000000
80 104 1000.000000
104 80 1000.000000
80 111 1000.000000
111 80 1000.000000
81 87 1000.000000
87 81 1000.000000
82 109 1000.000000
109 82 1000.000000
84 112 1000.000000
112 84 1000.000000
87 110 1000.000000
110 87 1000.000000
90 94 1000.000000
94 90 1000.000000
91 96 1000.000000
96 91 1000.000000
91 94 1000.000000
94 91 1000.000000
92 95 1000.000000
95 92 1000.000000
95 97 1000.000000
97 95 1000.000000
96 97 1000.000000
97 96 1000.000000
100 102 1000.000000
102 100 1000.000000
101 102 1000.000000
102 101 1000.000000
102 103 1000.000000
103 102 1000.000000
104 106 1000.000000
106 104 1000.000000
106 107 1000.000000
107 106 1000.000000
107 108 1000.000000
108 107 1000.000000
108 109 1000.000000
109 108 1000.000000
109 110 1000.000000
110 109 1000.000000
110 111 1000.000000
111 110 1000.000000
