s t k edges
111 93 0 111-110,110-87,87-57,57-60,60-78,78-22,22-96,96-97,97-95,95-25,25-29,29-30,30-93
111 93 1 111-80,80-104,104-106,106-65,65-67,67-99,99-66,66-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-90,90-2,2-3,3-4,4-93
111 93 2 111-110,110-87,87-57,57-60,60-78,78-22,22-96,96-91,91-94,94-25,25-29,29-30,30-93
57 50 0 57-60,60-78,78-22,22-96,96-91,91-5,5-83,83-52,52-88,88-51,51-50
57 50 1 57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-99,99-66,66-113,113-53,53-55,55-89,89-56,56-49,49-50
57 50 2 57-60,60-78,78-22,22-96,96-97,97-95,95-25,25-94,94-91,91-5,5-83,83-52,52-88,88-51,51-50
39 70 0 39-34,34-33,33-36,36-35,35-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-71,71-70
39 70 1 39-40,40-105,105-58,58-59,59-100,100-102,102-101,101-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-17,17-73,73-70
39 70 2 39-40,40-105,105-58,58-59,59-100,100-102,102-101,101-67,67-99,99-66,66-113,113-54,54-98,98-45,45-44,44-71,71-70
43 3 0 43-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-90,90-2,2-3
43 3 1 43-42,42-84,84-41,41-48,48-17,17-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-97,97-95,95-25,25-29,29-30,30-93,93-4,4-3
43 3 2 43-44,44-45,45-98,98-54,54-113,113-53,53-55,55-89,89-56,56-49,49-50,50-51,51-88,88-52,52-83,83-5,5-91,91-94,94-90,90-2,2-3
100 112 0 100-102,102-101,101-67,67-99,99-69,69-46,46-47,47-98,98-45,45-44,44-112
100 112 1 100-11,11-103,103-1,1-64,64-63,63-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41,41-84,84-112
100 112 2 100-102,102-101,101-67,67-99,99-66,66-113,113-54,54-98,98-45,45-44,44-112
63 76 0 63-106,106-65,65-67,67-61,61-77,77-76
63 76 1 63-64,64-1,1-103,103-102,102-101,101-67,67-99,99-69,69-46,46-47,47-98,98-45,45-44,44-71,71-70,70-73,73-18,18-72,72-75,75-74,74-85,85-76
63 76 2 63-64,64-1,1-103,103-102,102-101,101-67,67-61,61-77,77-76
29 44 0 29-30,30-93,93-4,4-3,3-2,2-90,90-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44
29 44 1 29-25,25-95,95-97,97-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-17,17-73,73-70,70-71,71-44
29 44 2 29-25,25-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44
112 26 0 112-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-25,25-26
112 26 1 112-84,84-41,41-48,48-17,17-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-97,97-95,95-25,25-28,28-27,27-26
112 26 2 112-44,44-45,45-98,98-54,54-113,113-53,53-55,55-89,89-56,56-49,49-50,50-51,51-88,88-52,52-83,83-5,5-91,91-94,94-25,25-26
33 41 0 33-36,36-35,35-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-112,112-84,84-41
33 41 1 33-34,34-39,39-40,40-105,105-58,58-59,59-100,100-102,102-101,101-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41
33 41 2 33-36,36-35,35-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-43,43-42,42-84,84-41
90 42 0 90-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-43,43-42
90 42 1 90-2,2-3,3-4,4-93,93-30,30-29,29-25,25-95,95-97,97-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41,41-84,84-42
90 42 2 90-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-112,112-84,84-42
110 41 0 110-109,109-108,108-107,107-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41
110 41 1 110-111,111-80,80-104,104-106,106-63,63-64,64-1,1-103,103-102,102-101,101-67,67-99,99-69,69-46,46-47,47-98,98-45,45-44,44-112,112-84,84-41
110 41 2 110-111,111-80,80-104,104-106,106-65,65-67,67-99,99-66,66-113,113-54,54-98,98-45,45-44,44-112,112-84,84-41
80 12 0 80-104,104-106,106-65,65-67,67-101,101-12
80 12 1 80-111,111-110,110-109,109-108,108-107,107-106,106-63,63-64,64-1,1-103,103-102,102-100,100-10,10-13,13-12
80 12 2 80-104,104-106,106-63,63-64,64-1,1-103,103-102,102-101,101-12
9 0 0 9-14,14-35,35-36,36-33,33-34,34-39,39-40,40-105,105-58,58-6,6-0
9 0 1 9-15,15-53,53-113,113-66,66-99,99-67,67-65,65-106,106-107,107-108,108-109,109-82,82-79,79-24,24-21,21-0
9 0 2 9-15,15-53,53-113,113-66,66-99,99-67,67-101,101-102,102-100,100-59,59-58,58-6,6-0
86 22 0 86-62,62-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22
86 22 1 86-68,68-69,69-99,99-67,67-101,101-102,102-100,100-59,59-58,58-6,6-0,0-21,21-24,24-23,23-19,19-22
86 22 2 86-68,68-69,69-99,99-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22
52 98 0 52-88,88-51,51-50,50-49,49-56,56-89,89-55,55-53,53-113,113-54,54-98
52 98 1 52-83,83-5,5-91,91-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-99,99-69,69-46,46-47,47-98
52 98 2 52-7,7-8,8-14,14-35,35-36,36-33,33-34,34-39,39-40,40-105,105-58,58-59,59-100,100-102,102-101,101-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-17,17-73,73-70,70-71,71-44,44-45,45-98
15 30 0 15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-90,90-2,2-3,3-4,4-93,93-30
15 30 1 15-53,53-113,113-66,66-99,99-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-97,97-95,95-25,25-29,29-30
15 30 2 15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-25,25-29,29-30
56 101 0 56-89,89-55,55-53,53-113,113-66,66-99,99-67,67-101
56 101 1 56-49,49-50,50-51,51-88,88-52,52-7,7-8,8-14,14-35,35-36,36-33,33-34,34-39,39-40,40-105,105-58,58-59,59-100,100-102,102-101
56 101 2 56-89,89-55,55-53,53-113,113-54,54-98,98-47,47-46,46-69,69-99,99-67,67-101
19 91 0 19-22,22-96,96-91
19 91 1 19-23,23-24,24-21,21-0,0-6,6-58,58-105,105-40,40-39,39-34,34-33,33-36,36-35,35-14,14-8,8-7,7-52,52-83,83-5,5-91
19 91 2 19-22,22-96,96-97,97-95,95-25,25-94,94-91
113 84 0 113-54,54-98,98-45,45-44,44-112,112-84
113 84 1 113-66,66-99,99-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41,41-84
113 84 2 113-54,54-98,98-45,45-44,44-43,43-42,42-84
76 88 0 76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-91,91-5,5-83,83-52,52-88
76 88 1 76-85,85-74,74-75,75-72,72-17,17-73,73-70,70-71,71-44,44-45,45-98,98-54,54-113,113-53,53-55,55-89,89-56,56-49,49-50,50-51,51-88
76 88 2 76-77,77-61,61-67,67-99,99-66,66-113,113-53,53-55,55-89,89-56,56-49,49-50,50-51,51-88
42 88 0 42-43,43-44,44-45,45-98,98-54,54-113,113-53,53-55,55-89,89-56,56-49,49-50,50-51,51-88
42 88 1 42-84,84-41,41-48,48-17,17-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-91,91-5,5-83,83-52,52-88
42 88 2 42-43,43-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-88
5 84 0 5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-112,112-84
5 84 1 5-91,91-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41,41-84
5 84 2 5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-43,43-42,42-84
62 31 0 62-61,61-67,67-101,101-102,102-100,100-59,59-58,58-16,16-32,32-20,20-31
62 31 1 62-86,86-68,68-69,69-99,99-66,66-113,113-53,53-15,15-9,9-14,14-35,35-36,36-33,33-34,34-39,39-40,40-37,37-38,38-31
62 31 2 62-61,61-67,67-101,101-102,102-100,100-59,59-58,58-105,105-40,40-37,37-38,38-31
52 17 0 52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-71,71-70,70-73,73-17
52 17 1 52-83,83-5,5-91,91-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-17
52 17 2 52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-112,112-84,84-41,41-48,48-17
109 32 0 109-82,82-79,79-24,24-21,21-0,0-6,6-58,58-16,16-32
109 32 1 109-108,108-107,107-106,106-65,65-67,67-101,101-102,102-100,100-59,59-58,58-105,105-40,40-37,37-38,38-31,31-20,20-32
109 32 2 109-108,108-107,107-106,106-65,65-67,67-101,101-102,102-100,100-59,59-58,58-16,16-32
113 37 0 113-53,53-15,15-9,9-14,14-35,35-36,36-33,33-34,34-39,39-40,40-37
113 37 1 113-66,66-99,99-67,67-101,101-102,102-100,100-59,59-58,58-16,16-32,32-20,20-31,31-38,38-37
113 37 2 113-66,66-99,99-67,67-101,101-102,102-100,100-59,59-58,58-105,105-40,40-37
8 87 0 8-7,7-52,52-83,83-5,5-91,91-96,96-22,22-78,78-60,60-57,57-87
8 87 1 8-14,14-9,9-15,15-53,53-113,113-66,66-99,99-67,67-65,65-106,106-104,104-80,80-81,81-87
8 87 2 8-7,7-52,52-83,83-5,5-91,91-94,94-25,25-95,95-97,97-96,96-22,22-78,78-60,60-57,57-87
104 46 0 104-106,106-65,65-67,67-99,99-69,69-46
104 46 1 104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-47,47-46
104 46 2 104-106,106-65,65-67,67-61,61-62,62-86,86-68,68-69,69-46
28 10 0 28-25,25-95,95-97,97-96,96-22,22-19,19-23,23-24,24-21,21-0,0-6,6-58,58-59,59-100,100-10
28 10 1 28-27,27-26,26-25,25-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-66,66-99,99-67,67-101,101-12,12-13,13-10
