i j capacity
9 2 1
9 22 1
9 8 1
9 13 1
9 3 1
9 16 1
9 5 1
8 13 1
8 3 1
8 9 1
8 5 1
3 6 1
3 2 1
3 8 1
3 9 1
2 6 1
2 3 1
2 17 1
2 16 1
2 9 1
2 0 1
2 21 1
2 15 1
2 20 1
1 6 1
1 0 1
0 6 1
0 2 1
0 1 1
0 7 1
7 6 1
7 4 1
7 0 1
7 5 1
6 2 1
6 1 1
6 3 1
6 7 1
6 0 1
5 8 1
5 13 1
5 4 1
5 7 1
5 9 1
5 14 1
4 7 1
4 5 1
19 17 1
19 20 1
18 17 1
18 21 1
13 22 1
13 8 1
13 11 1
13 17 1
13 12 1
13 16 1
13 9 1
13 10 1
13 5 1
13 15 1
12 13 1
12 11 1
12 24 1
11 13 1
11 12 1
11 14 1
11 10 1
10 13 1
10 11 1
10 14 1
17 18 1
17 2 1
17 22 1
17 13 1
17 19 1
17 16 1
17 21 1
17 15 1
17 20 1
16 2 1
16 13 1
16 17 1
16 9 1
16 15 1
15 2 1
15 13 1
15 17 1
15 16 1
15 21 1
14 11 1
14 10 1
14 5 1
22 13 1
22 23 1
22 17 1
22 9 1
22 24 1
22 21 1
23 22 1
23 24 1
20 2 1
20 17 1
20 19 1
21 18 1
21 2 1
21 22 1
21 17 1
21 15 1
24 22 1
24 23 1
24 12 1
