s t h tm
0 1 0 0.068119522352
0 2 0 0.044979772057
0 3 0 0.045389467696
0 4 0 0.111577314692
0 5 0 0.061385228746
0 6 0 0.131374178757
0 7 0 0.002559799306
0 8 0 0.036770840870
0 9 0 0.041556261183
0 10 0 0.013694980809
0 11 0 0.039172386048
0 12 0 0.100707051236
0 13 0 0.055270044069
0 14 0 0.011716309611
0 15 0 0.038778886241
0 16 0 0.002600624897
0 17 0 0.043171754514
0 18 0 0.110354789760
0 19 0 0.045616927480
0 20 0 0.003062645480
0 21 0 0.009981574963
0 22 0 0.124400510381
0 23 0 0.007032696267
0 24 0 0.113150388424
1 0 0 0.001288718077
1 2 0 0.003663528417
1 3 0 0.003696897453
1 4 0 0.009087788674
1 5 0 0.004999725868
1 6 0 0.010700210676
1 7 0 0.000208491441
1 8 0 0.002994924480
1 9 0 0.003384689090
1 10 0 0.001115433651
1 11 0 0.003190526383
1 12 0 0.008202423604
1 13 0 0.004501654139
1 14 0 0.000954274138
1 15 0 0.003158476471
1 16 0 0.000211816618
1 17 0 0.003516268363
1 18 0 0.008988216030
1 19 0 0.003715423678
1 20 0 0.000249447435
1 21 0 0.000812982855
1 22 0 0.010132216862
1 23 0 0.000572801538
1 24 0 0.009215912941
2 0 0 0.004175461856
2 1 0 0.017976308328
2 3 0 0.011977991594
2 4 0 0.029444543092
2 5 0 0.016199171113
2 6 0 0.034668809500
2 7 0 0.000675514742
2 8 0 0.009703590838
2 9 0 0.010966432796
2 10 0 0.003614018259
2 11 0 0.010337343323
2 12 0 0.026575949762
2 13 0 0.014585412803
2 14 0 0.003091859525
2 15 0 0.010233501229
2 16 0 0.000686288356
2 17 0 0.011392751203
2 18 0 0.029121926545
2 19 0 0.012038016783
2 20 0 0.000808212647
2 21 0 0.002634074094
2 22 0 0.032828502807
2 23 0 0.001855883778
2 24 0 0.029859667236
3 0 0 0.001232516965
3 1 0 0.005306264491
3 2 0 0.003503761610
3 4 0 0.008691469384
3 5 0 0.004781687369
3 6 0 0.010233573515
3 7 0 0.000199399110
3 8 0 0.002864315551
3 9 0 0.003237082491
3 10 0 0.001066789488
3 11 0 0.003051387237
3 12 0 0.007844715164
3 13 0 0.004305336593
3 14 0 0.000912658156
3 15 0 0.003020735025
3 16 0 0.000202579276
3 17 0 0.003362923580
3 18 0 0.008596239112
3 19 0 0.003553393713
3 20 0 0.000238569009
3 21 0 0.000777528599
3 22 0 0.009690349963
3 23 0 0.000547821611
3 24 0 0.008814006140
4 0 0 0.016293326711
4 1 0 0.070146459185
4 2 0 0.046318171881
4 3 0 0.046740058257
4 5 0 0.063211782675
4 6 0 0.135283295449
4 7 0 0.002635967654
4 8 0 0.037864979072
4 9 0 0.042792792408
4 10 0 0.014102483095
4 11 0 0.040337983653
4 12 0 0.103703649340
4 13 0 0.056914637046
4 14 0 0.012064935360
4 15 0 0.039932775026
4 16 0 0.002678008035
4 17 0 0.044456355702
4 18 0 0.113638462052
4 19 0 0.046974286242
4 20 0 0.003153776315
4 21 0 0.010278582653
4 22 0 0.128102121429
4 23 0 0.007241958320
4 24 0 0.116517245414
5 0 0 0.004532343484
5 1 0 0.019512764513
5 2 0 0.012884407725
5 3 0 0.013001764604
5 4 0 0.031961202771
5 6 0 0.037631993365
5 7 0 0.000733251780
5 8 0 0.010532968143
5 9 0 0.011903746687
5 10 0 0.003922912644
5 11 0 0.011220888197
5 12 0 0.028847427400
5 13 0 0.015832045166
5 14 0 0.003356124390
5 15 0 0.011108170598
5 16 0 0.000744946228
5 17 0 0.012366503028
5 18 0 0.031611011809
5 19 0 0.013066920216
5 20 0 0.000877291531
5 21 0 0.002859211501
5 22 0 0.035634393498
5 23 0 0.002014508344
5 24 0 0.032411808064
6 0 0 0.000369094584
6 1 0 0.001589035720
6 2 0 0.001049250817
6 3 0 0.001058807857
6 4 0 0.002602783057
6 5 0 0.001431943704
6 7 0 0.000059712875
6 8 0 0.000857759679
6 9 0 0.000969389995
6 10 0 0.000319465154
6 11 0 0.000913780933
6 12 0 0.002349210566
6 13 0 0.001289293748
6 14 0 0.000273308353
6 15 0 0.000904601696
6 16 0 0.000060665221
6 17 0 0.001007074883
6 18 0 0.002574265009
6 19 0 0.001064113850
6 20 0 0.000071442854
6 21 0 0.000232841902
6 22 0 0.002901911930
6 23 0 0.000164052906
6 24 0 0.002639478416
7 0 0 0.003662745315
7 1 0 0.015768947576
7 2 0 0.010412340590
7 3 0 0.010507180789
7 4 0 0.025828965990
7 5 0 0.014210029969
7 6 0 0.030411730238
7 8 0 0.008512060009
7 9 0 0.009619834101
7 10 0 0.003170242935
7 11 0 0.009067992269
7 12 0 0.023312615190
7 13 0 0.012794429517
7 14 0 0.002712201520
7 15 0 0.008976901233
7 16 0 0.000602017105
7 17 0 0.009993803688
7 18 0 0.025545964423
7 19 0 0.010559835319
7 20 0 0.000708969974
7 21 0 0.002310628831
7 22 0 0.028797399908
7 23 0 0.001627994662
7 24 0 0.026193115890
8 0 0 0.004443821368
8 1 0 0.019131656767
8 2 0 0.012632759754
8 3 0 0.012747824512
8 4 0 0.031336962063
8 5 0 0.017240301846
8 6 0 0.036896995300
8 7 0 0.000718930492
8 9 0 0.011671252205
8 10 0 0.003846293445
8 11 0 0.011001730763
8 12 0 0.028284002467
8 13 0 0.015522826293
8 14 0 0.003290575247
8 15 0 0.010891214673
8 16 0 0.000730396532
8 17 0 0.012124970359
8 18 0 0.030993610751
8 19 0 0.012811707557
8 20 0 0.000860156973
8 21 0 0.002803367663
8 22 0 0.034938410959
8 23 0 0.001975162574
8 24 0 0.031778766492
9 0 0 0.007369998205
9 1 0 0.031729510337
9 2 0 0.020951205956
9 3 0 0.021142038798
9 4 0 0.051971790724
9 5 0 0.028592732051
9 6 0 0.061193006336
9 7 0 0.001192333354
9 8 0 0.017127553676
9 10 0 0.006379008839
9 11 0 0.018246173566
9 12 0 0.046908511876
9 13 0 0.025744329585
9 14 0 0.005457360153
9 15 0 0.018062884609
9 16 0 0.001211349577
9 17 0 0.020109046332
9 18 0 0.051402348718
9 19 0 0.021247987685
9 20 0 0.001426554944
9 21 0 0.004649335096
9 22 0 0.057944729261
9 23 0 0.003275771779
9 24 0 0.052704515463
10 0 0 0.008393446956
10 1 0 0.036135688847
10 2 0 0.023860634828
10 3 0 0.024077968033
10 4 0 0.059188951815
10 5 0 0.032563315907
10 6 0 0.069690688987
10 7 0 0.001357908982
10 8 0 0.019506003836
10 9 0 0.022044548639
10 11 0 0.020779962994
10 12 0 0.053422551165
10 13 0 0.029319364641
10 14 0 0.006215206800
10 15 0 0.020571221269
10 16 0 0.001379565928
10 17 0 0.022901527113
10 18 0 0.058540433166
10 19 0 0.024198629712
10 20 0 0.001624656197
10 21 0 0.005294973814
10 22 0 0.065991333767
10 23 0 0.003730668027
10 24 0 0.060023427761
11 0 0 0.000923041682
11 1 0 0.003973903353
11 2 0 0.002623994720
11 3 0 0.002647895223
11 4 0 0.006509110012
11 5 0 0.003581043406
11 6 0 0.007664003965
11 7 0 0.000149331567
11 8 0 0.002145108521
11 9 0 0.002424276623
11 10 0 0.000798927066
11 12 0 0.005874969094
11 13 0 0.003224300551
11 14 0 0.000683496895
11 15 0 0.002262252299
11 16 0 0.000151713219
11 17 0 0.002518520008
11 18 0 0.006437791310
11 19 0 0.002661164594
11 20 0 0.000178666214
11 21 0 0.000582297304
11 22 0 0.007257179560
11 23 0 0.000410267928
11 24 0 0.006600878755
12 0 0 0.014269322207
12 1 0 0.061432661701
12 2 0 0.040564393653
12 3 0 0.040933872075
12 4 0 0.100624478715
12 5 0 0.055359430906
12 6 0 0.118478010432
12 7 0 0.002308520074
12 8 0 0.033161281078
12 9 0 0.037476947088
12 10 0 0.012350631567
12 11 0 0.035327081826
12 13 0 0.049844535050
12 14 0 0.010566193947
12 15 0 0.034972209395
12 16 0 0.002345338077
12 17 0 0.038933857703
12 18 0 0.099521961287
12 19 0 0.041139003577
12 20 0 0.002762005034
12 21 0 0.009001747176
12 22 0 0.112188902766
12 23 0 0.006342341163
12 24 0 0.102043133794
13 0 0 0.007663635734
13 1 0 0.032993686357
13 2 0 0.021785949760
