s t h tm
0 1 0 0.129265573744
0 2 0 0.092814149586
0 3 0 0.063695141693
0 4 0 0.023769971641
0 5 0 0.034309383073
0 6 0 0.049491538136
0 7 0 0.087634878182
0 8 0 0.111260812721
0 9 0 0.099360551432
0 10 0 0.041741422945
0 11 0 0.065299068672
1 0 0 0.019603502994
1 2 0 0.007559559752
1 3 0 0.005187864477
1 4 0 0.001936025075
1 5 0 0.002794442793
1 6 0 0.004031004340
1 7 0 0.007137716619
1 8 0 0.009062010110
1 9 0 0.008092753410
1 10 0 0.003399770211
1 11 0 0.005318501690
2 0 0 0.063515582211
2 1 0 0.034112362060
2 3 0 0.016808742436
2 4 0 0.006272744206
2 5 0 0.009054027794
2 6 0 0.013060501871
2 7 0 0.023126286505
2 8 0 0.029361020237
2 9 0 0.026220617035
2 10 0 0.011015295807
2 11 0 0.017232008556
3 0 0 0.018748592446
3 1 0 0.010069320809
3 2 0 0.007229886664
3 4 0 0.001851594846
3 5 0 0.002672576889
3 6 0 0.003855211874
3 7 0 0.006826440149
3 8 0 0.008666815025
3 9 0 0.007739827698
3 10 0 0.003251505923
3 11 0 0.005086561347
4 0 0 0.247848062790
4 1 0 0.133111947641
4 2 0 0.095575889715
4 3 0 0.065590428453
4 5 0 0.035330279138
4 6 0 0.050964188239
4 7 0 0.090242506015
4 8 0 0.114571444263
4 9 0 0.102317083634
4 10 0 0.042983463769
4 11 0 0.067242081232
5 0 0 0.068944333619
5 1 0 0.037027985708
5 2 0 0.026586514142
5 3 0 0.018245405393
5 4 0 0.006808883021
5 6 0 0.014176798305
5 7 0 0.025102917373
5 8 0 0.031870541119
5 9 0 0.028461723967
5 10 0 0.011956786076
5 11 0 0.018704848565
6 0 0 0.005614530363
6 1 0 0.003015400093
6 2 0 0.002165091503
6 3 0 0.001485827438
6 4 0 0.000554486184
6 5 0 0.000800340833
6 7 0 0.002044273755
6 8 0 0.002595399961
6 9 0 0.002317800536
6 10 0 0.000973709295
6 11 0 0.001523242516
7 0 0 0.055716327730
7 1 0 0.029923610522
7 2 0 0.021485492098
7 3 0 0.014744750338
7 4 0 0.005502496550
7 5 0 0.007942258612
7 6 0 0.011456766627
7 8 0 0.025755699138
7 9 0 0.023000914754
7 10 0 0.009662697087
7 11 0 0.015116042437
8 0 0 0.067597767910
8 1 0 0.036304784639
8 2 0 0.026067247563
8 3 0 0.017889050694
8 4 0 0.006675897351
8 5 0 0.009635935752
8 6 0 0.013899908394
8 7 0 0.024612627222
8 9 0 0.027905832287
8 10 0 0.011723255672
8 11 0 0.018339520389
9 0 0 0.112109688239
9 1 0 0.060210835554
9 2 0 0.043232063542
9 3 0 0.029668670405
9 4 0 0.011071856273
9 5 0 0.015981026985
9 6 0 0.023052749295
9 7 0 0.040819601741
9 8 0 0.051824366723
9 10 0 0.019442809713
9 11 0 0.030415766331
10 0 0 0.127678012296
10 1 0 0.068572127199
10 2 0 0.049235565874
10 3 0 0.033788666477
10 4 0 0.012609370552
10 5 0 0.018200262546
10 6 0 0.026254012960
10 7 0 0.046488092999
10 8 0 0.059021055500
10 9 0 0.052708266974
10 11 0 0.034639509293
11 0 0 0.014040968840
11 1 0 0.007540993817
11 2 0 0.005414519179
11 3 0 0.003715797298
11 4 0 0.001386673992
11 5 0 0.002001513923
11 6 0 0.002887198597
11 7 0 0.005112374899
11 8 0 0.006490646168
11 9 0 0.005796418043
11 10 0 0.002435078445
