i j cap
0 1 1
1 0 1
0 2 1
2 0 1
1 8 1
8 1 1
1 6 1
6 1 1
1 2 1
2 1 1
1 29 1
29 1 1
1 28 1
28 1 1
1 22 1
22 1 1
1 31 1
31 1 1
2 27 1
27 2 1
2 21 1
21 2 1
2 3 1
3 2 1
2 28 1
28 2 1
2 19 1
19 2 1
3 27 1
27 3 1
4 8 1
8 4 1
4 5 1
5 4 1
4 15 1
15 4 1
5 15 1
15 5 1
6 7 1
7 6 1
7 21 1
21 7 1
7 30 1
30 7 1
7 15 1
15 7 1
7 17 1
17 7 1
8 9 1
9 8 1
8 21 1
21 8 1
8 28 1
28 8 1
8 25 1
25 8 1
9 28 1
28 9 1
9 25 1
25 9 1
10 13 1
13 10 1
10 27 1
27 10 1
10 12 1
12 10 1
10 17 1
17 10 1
10 14 1
14 10 1
10 11 1
11 10 1
10 25 1
25 10 1
11 16 1
16 11 1
11 13 1
13 11 1
11 12 1
12 11 1
11 17 1
17 11 1
13 27 1
27 13 1
13 16 1
16 13 1
13 28 1
28 13 1
13 25 1
25 13 1
13 23 1
23 13 1
13 24 1
24 13 1
13 22 1
22 13 1
14 16 1
16 14 1
15 28 1
28 15 1
15 29 1
29 15 1
16 17 1
17 16 1
16 23 1
23 16 1
17 27 1
27 17 1
17 28 1
28 17 1
17 22 1
22 17 1
18 27 1
27 18 1
18 20 1
20 18 1
18 25 1
25 18 1
19 20 1
20 19 1
20 21 1
21 20 1
22 27 1
27 22 1
22 33 1
33 22 1
22 23 1
23 22 1
23 25 1
25 23 1
23 24 1
24 23 1
24 25 1
25 24 1
25 28 1
28 25 1
26 27 1
27 26 1
26 35 1
35 26 1
27 35 1
35 27 1
27 33 1
33 27 1
30 31 1
31 30 1
32 33 1
33 32 1
32 34 1
34 32 1
34 35 1
35 34 1
