s t k edges
7 3 0 7-17,17-27,27-3
7 3 1 7-21,21-2,2-3
7 3 2 7-21,21-2,2-27,27-3
31 6 0 31-1,1-6
31 6 1 31-30,30-7,7-6
31 6 2 31-1,1-22,22-17,17-7,7-6
5 31 0 5-4,4-8,8-1,1-31
5 31 1 5-15,15-7,7-30,30-31
5 31 2 5-15,15-28,28-1,1-31
20 25 0 20-18,18-25
20 25 1 20-21,21-8,8-25
20 25 2 20-19,19-2,2-28,28-25
3 35 0 3-27,27-35
3 35 1 3-2,2-27,27-26,26-35
3 35 2 3-2,2-27,27-35
16 9 0 16-17,17-28,28-9
16 9 1 16-13,13-25,25-9
16 9 2 16-23,23-25,25-8,8-9
6 28 0 6-1,1-28
6 28 1 6-7,7-15,15-28
6 28 2 6-1,1-2,2-28
21 28 0 21-8,8-28
21 28 1 21-2,2-28
21 28 2 21-7,7-15,15-28
30 6 0 30-7,7-6
30 6 1 30-31,31-1,1-6
30 6 2 30-7,7-17,17-22,22-1,1-6
19 4 0 19-2,2-28,28-15,15-4
19 4 1 19-20,20-21,21-8,8-4
19 4 2 19-2,2-1,1-8,8-4
17 20 0 17-27,27-18,18-20
17 20 1 17-7,7-21,21-20
17 20 2 17-28,28-2,2-19,19-20
7 25 0 7-17,17-10,10-25
7 25 1 7-21,21-8,8-25
7 25 2 7-15,15-28,28-25
22 19 0 22-1,1-2,2-19
22 19 1 22-27,27-18,18-20,20-19
22 19 2 22-27,27-2,2-19
20 7 0 20-21,21-7
20 7 1 20-18,18-27,27-17,17-7
20 7 2 20-19,19-2,2-28,28-15,15-7
30 26 0 30-7,7-17,17-27,27-26
30 26 1 30-31,31-1,1-2,2-27,27-35,35-26
30 26 2 30-31,31-1,1-2,2-27,27-26
18 19 0 18-20,20-19
18 19 1 18-27,27-2,2-19
18 19 2 18-20,20-21,21-2,2-19
23 26 0 23-13,13-27,27-26
23 26 1 23-22,22-27,27-35,35-26
23 26 2 23-22,22-27,27-26
21 6 0 21-7,7-6
21 6 1 21-2,2-1,1-6
21 6 2 21-8,8-1,1-6
8 5 0 8-4,4-5
8 5 1 8-28,28-15,15-5
8 5 2 8-4,4-15,15-5
32 2 0 32-33,33-22,22-1,1-2
32 2 1 32-34,34-35,35-27,27-2
32 2 2 32-33,33-27,27-2
13 32 0 13-22,22-33,33-32
13 32 1 13-27,27-35,35-34,34-32
13 32 2 13-27,27-33,33-32
35 15 0 35-27,27-17,17-7,7-15
35 15 1 35-26,26-27,27-2,2-28,28-15
35 15 2 35-34,34-32,32-33,33-22,22-1,1-29,29-15
9 0 0 9-8,8-1,1-0
9 0 1 9-28,28-2,2-0
9 0 2 9-28,28-1,1-0
33 3 0 33-27,27-3
33 3 1 33-22,22-1,1-2,2-3
33 3 2 33-22,22-27,27-3
14 31 0 14-16,16-17,17-7,7-30,30-31
14 31 1 14-10,10-27,27-2,2-1,1-31
14 31 2 14-10,10-13,13-22,22-1,1-31
10 7 0 10-17,17-7
10 7 1 10-13,13-28,28-15,15-7
10 7 2 10-25,25-8,8-21,21-7
34 8 0 34-32,32-33,33-22,22-1,1-8
34 8 1 34-35,35-27,27-2,2-28,28-8
34 8 2 34-35,35-27,27-2,2-1,1-8
15 30 0 15-7,7-30
15 30 1 15-29,29-1,1-31,31-30
15 30 2 15-28,28-1,1-31,31-30
11 22 0 11-17,17-22
11 22 1 11-13,13-22
11 22 2 11-10,10-27,27-22
35 21 0 35-27,27-2,2-21
35 21 1 35-26,26-27,27-18,18-20,20-21
35 21 2 35-34,34-32,32-33,33-22,22-1,1-8,8-21
0 17 0 0-1,1-28,28-17
0 17 1 0-2,2-27,27-17
0 17 2 0-1,1-22,22-17
24 14 0 24-13,13-10,10-14
24 14 1 24-23,23-16,16-14
24 14 2 24-13,13-16,16-14
14 1 0 14-16,16-17,17-22,22-1
14 1 1 14-10,10-27,27-2,2-1
14 1 2 14-10,10-13,13-22,22-1
12 17 0 12-10,10-17
12 17 1 12-11,11-17
12 17 2 12-10,10-11,11-17
1 28 0 1-28
1 28 1 1-8,8-28
1 28 2 1-2,2-28
25 15 0 25-28,28-15
25 15 1 25-8,8-4,4-15
25 15 2 25-10,10-17,17-7,7-15
15 4 0 15-4
15 4 1 15-5,5-4
15 4 2 15-28,28-8,8-4
13 20 0 13-25,25-18,18-20
13 20 1 13-27,27-2,2-19,19-20
13 20 2 13-28,28-2,2-21,21-20
2 27 0 2-27
2 27 1 2-3,3-27
2 27 2 2-28,28-13,13-27
26 12 0 26-27,27-10,10-12
26 12 1 26-35,35-27,27-17,17-11,11-12
26 12 2 26-35,35-27,27-10,10-12
29 17 0 29-1,1-28,28-17
29 17 1 29-15,15-7,7-17
29 17 2 29-1,1-22,22-17
3 2 0 3-2
3 2 1 3-27,27-2
3 2 2 3-27,27-22,22-1,1-2
27 1 0 27-2,2-1
27 1 1 27-22,22-1
27 1 2 27-17,17-28,28-1
30 35 0 30-7,7-17,17-27,27-35
30 35 1 30-31,31-1,1-2,2-27,27-26,26-35
30 35 2 30-31,31-1,1-2,2-27,27-35
15 34 0 15-28,28-13,13-27,27-35,35-34
15 34 1 15-29,29-1,1-22,22-33,33-32,32-34
15 34 2 15-28,28-2,2-27,27-35,35-34
30 14 0 30-7,7-17,17-10,10-14
30 14 1 30-31,31-1,1-22,22-23,23-16,16-14
30 14 2 30-7,7-17,17-16,16-14
4 5 0 4-5
4 5 1 4-15,15-5
4 5 2 4-8,8-28,28-15,15-5
28 10 0 28-25,25-10
28 10 1 28-13,13-10
28 10 2 28-17,17-10
31 15 0 31-1,1-29,29-15
31 15 1 31-30,30-7,7-15
31 15 2 31-1,1-28,28-15
5 24 0 5-4,4-8,8-25,25-24
5 24 1 5-15,15-28,28-13,13-24
5 24 2 5-15,15-28,28-25,25-24
20 32 0 20-18,18-27,27-33,33-32
20 32 1 20-19,19-2,2-27,27-35,35-34,34-32
20 32 2 20-19,19-2,2-27,27-33,33-32
32 23 0 32-33,33-22,22-23
32 23 1 32-34,34-35,35-27,27-13,13-23
32 23 2 32-33,33-27,27-13,13-23
16 0 0 16-17,17-28,28-2,2-0
16 0 1 16-13,13-22,22-1,1-0
16 0 2 16-17,17-22,22-1,1-0
6 23 0 6-1,1-22,22-23
6 23 1 6-7,7-17,17-16,16-23
6 23 2 6-1,1-8,8-25,25-23
30 16 0 30-7,7-17,17-16
30 16 1 30-31,31-1,1-22,22-23,23-16
30 16 2 30-7,7-17,17-11,11-16
4 35 0 4-15,15-28,28-13,13-27,27-35
4 35 1 4-8,8-1,1-22,22-33,33-32,32-34,34-35
4 35 2 4-5,5-15,15-7,7-17,17-27,27-26,26-35
19 13 0 19-2,2-28,28-13
19 13 1 19-20,20-18,18-25,25-13
19 13 2 19-2,2-27,27-13
17 13 0 17-11,11-13
17 13 1 17-28,28-13
17 13 2 17-22,22-13
7 22 0 7-17,17-22
7 22 1 7-6,6-1,1-22
7 22 2 7-21,21-2,2-27,27-22
31 21 0 31-1,1-8,8-21
31 21 1 31-30,30-7,7-21
31 21 2 31-1,1-2,2-21
5 34 0 5-15,15-28,28-13,13-27,27-35,35-34
5 34 1 5-4,4-8,8-1,1-22,22-33,33-32,32-34
5 34 2 5-15,15-28,28-2,2-27,27-35,35-34
20 14 0 20-18,18-27,27-10,10-14
20 14 1 20-21,21-7,7-17,17-16,16-14
20 14 2 20-18,18-25,25-10,10-14
18 10 0 18-25,25-10
18 10 1 18-27,27-10
18 10 2 18-20,20-21,21-7,7-17,17-10
33 34 0 33-32,32-34
33 34 1 33-27,27-35,35-34
33 34 2 33-22,22-27,27-35,35-34
23 19 0 23-25,25-18,18-20,20-19
23 19 1 23-22,22-1,1-2,2-19
23 19 2 23-13,13-27,27-2,2-19
21 15 0 21-7,7-15
21 15 1 21-8,8-4,4-15
21 15 2 21-2,2-28,28-15
8 12 0 8-25,25-10,10-12
8 12 1 8-28,28-13,13-11,11-12
8 12 2 8-9,9-25,25-10,10-12
32 25 0 32-33,33-22,22-13,13-25
32 25 1 32-34,34-35,35-27,27-18,18-25
32 25 2 32-33,33-27,27-10,10-25
22 12 0 22-27,27-10,10-12
22 12 1 22-13,13-11,11-12
22 12 2 22-13,13-10,10-12
33 4 0 33-22,22-1,1-8,8-4
33 4 1 33-27,27-2,2-28,28-15,15-4
33 4 2 33-32,32-34,34-35,35-27,27-17,17-7,7-15,15-5,5-4
23 9 0 23-25,25-9
23 9 1 23-13,13-28,28-9
23 9 2 23-22,22-1,1-8,8-9
10 14 0 10-14
10 14 1 10-13,13-16,16-14
10 14 2 10-17,17-16,16-14
34 3 0 34-35,35-27,27-3
34 3 1 34-32,32-33,33-27,27-2,2-3
34 3 2 34-32,32-33,33-27,27-3
8 18 0 8-25,25-18
8 18 1 8-21,21-20,20-18
8 18 2 8-28,28-13,13-27,27-18
11 15 0 11-17,17-7,7-15
11 15 1 11-13,13-28,28-15
