s t h tm
0 1 0 0.034308356864
0 2 0 0.018829112485
0 3 0 0.003991451704
0 4 0 0.013210990210
0 5 0 0.000885967427
0 6 0 0.014707529831
0 7 0 0.037595098478
0 8 0 0.015540538699
0 9 0 0.001043366207
0 10 0 0.003400471285
0 11 0 0.042380121866
0 12 0 0.002395862557
0 13 0 0.038547488559
0 14 0 0.106678796765
0 15 0 0.032971583618
0 16 0 0.037357606261
0 17 0 0.000441929588
0 18 0 0.000722501717
0 19 0 0.004496228972
0 20 0 0.043052789344
0 21 0 0.028066252955
0 22 0 0.003620331349
0 23 0 0.001481646807
0 24 0 0.019105623397
0 25 0 0.001964301009
0 26 0 0.000402180393
0 27 0 0.004711329253
0 28 0 0.089381720548
0 29 0 0.053164689253
0 30 0 0.005113083326
0 31 0 0.013715040452
0 32 0 0.020517470245
0 33 0 0.060179290074
0 34 0 0.011655699760
0 35 0 0.018562876900
1 0 0 0.001086932011
1 2 0 0.001533600227
1 3 0 0.000325097173
1 4 0 0.001076013413
1 5 0 0.000072160589
1 6 0 0.001197904103
1 7 0 0.003062058906
1 8 0 0.001265751304
1 9 0 0.000084980461
1 10 0 0.000276962790
1 11 0 0.003451791187
1 12 0 0.000195139063
1 13 0 0.003139629511
1 14 0 0.008688812450
1 15 0 0.002685481229
1 16 0 0.003042715556
1 17 0 0.000035994438
1 18 0 0.000058846576
1 19 0 0.000366210451
1 20 0 0.003506578846
1 21 0 0.002285950118
1 22 0 0.000294870031
1 23 0 0.000120677694
1 24 0 0.001556121586
1 25 0 0.000159989085
1 26 0 0.000032756931
1 27 0 0.000383730015
1 28 0 0.007279994056
1 29 0 0.004330176454
1 30 0 0.000416452223
1 31 0 0.001117067476
1 32 0 0.001671114189
1 33 0 0.004901504148
1 34 0 0.000949337565
1 35 0 0.001511915777
2 0 0 0.003521672608
2 1 0 0.009053756983
2 3 0 0.001053318697
2 4 0 0.003486296221
2 5 0 0.000233801164
2 6 0 0.003881223500
2 7 0 0.009921107174
2 8 0 0.004101049238
2 9 0 0.000275337700
2 10 0 0.000897362726
2 11 0 0.011183844386
2 12 0 0.000632252878
