i j cap
0 3 1
3 0 1
0 1 1
1 0 1
1 6 1
6 1 1
2 3 1
3 2 1
2 23 1
23 2 1
4 5 1
5 4 1
4 7 1
7 4 1
5 6 1
6 5 1
6 8 1
8 6 1
6 12 1
12 6 1
6 7 1
7 6 1
8 9 1
9 8 1
9 17 1
17 9 1
10 11 1
11 10 1
10 12 1
12 10 1
11 31 1
31 11 1
12 18 1
18 12 1
13 20 1
20 13 1
13 17 1
17 13 1
14 21 1
21 14 1
14 15 1
15 14 1
15 16 1
16 15 1
16 17 1
17 16 1
18 24 1
24 18 1
18 19 1
19 18 1
19 20 1
20 19 1
20 21 1
21 20 1
22 23 1
23 22 1
22 31 1
31 22 1
24 25 1
25 24 1
25 26 1
26 25 1
26 30 1
30 26 1
26 27 1
27 26 1
27 28 1
28 27 1
28 29 1
29 28 1
29 31 1
31 29 1
30 31 1
31 30 1
