s t k edges
7 3 0 7-6,6-1,1-0,0-3
7 3 1 7-4,4-5,5-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3
7 3 2 7-4,4-5,5-6,6-1,1-0,0-3
31 6 0 31-11,11-10,10-12,12-6
31 6 1 31-22,22-23,23-2,2-3,3-0,0-1,1-6
31 6 2 31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-9,9-8,8-6
5 31 0 5-6,6-12,12-10,10-11,11-31
5 31 1 5-4,4-7,7-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31
5 31 2 5-4,4-7,7-6,6-12,12-10,10-11,11-31
20 25 0 20-19,19-18,18-24,24-25
20 25 1 20-13,13-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-30,30-26,26-25
20 25 2 20-13,13-17,17-9,9-8,8-6,6-12,12-18,18-24,24-25
16 9 0 16-17,17-9
16 9 1 16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-6,6-8,8-9
16 9 2 16-15,15-14,14-21,21-20,20-13,13-17,17-9
6 28 0 6-12,12-18,18-24,24-25,25-26,26-27,27-28
6 28 1 6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-29,29-28
6 28 2 6-12,12-10,10-11,11-31,31-29,29-28
21 28 0 21-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28
21 28 1 21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-29,29-28
21 28 2 21-20,20-19,19-18,18-12,12-10,10-11,11-31,31-29,29-28
19 4 0 19-18,18-12,12-6,6-5,5-4
19 4 1 19-20,20-13,13-17,17-9,9-8,8-6,6-7,7-4
19 4 2 19-18,18-12,12-6,6-7,7-4
17 20 0 17-13,13-20
17 20 1 17-16,16-15,15-14,14-21,21-20
17 20 2 17-9,9-8,8-6,6-12,12-18,18-19,19-20
7 25 0 7-6,6-12,12-18,18-24,24-25
7 25 1 7-4,4-5,5-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25
