s t h tm
0 1 0 0.008601118855
0 2 0 0.009720483218
0 3 0 0.003203412130
0 4 0 0.009162867649
0 5 0 0.023556527311
0 6 0 0.012928293368
0 7 0 0.002740578380
0 8 0 0.009070823558
0 9 0 0.000608315810
0 10 0 0.010098365525
0 11 0 0.025813243333
0 12 0 0.010670319356
0 13 0 0.000716387691
0 14 0 0.002334804171
0 15 0 0.029098697503
0 16 0 0.001645027827
0 17 0 0.026467165730
0 18 0 0.073246935128
0 19 0 0.022638682846
0 20 0 0.025650178342
0 21 0 0.000303434130
0 22 0 0.000496078302
0 23 0 0.003087164477
0 24 0 0.029560559022
0 25 0 0.019270624265
0 26 0 0.002485762715
0 27 0 0.001017316382
0 28 0 0.013118149060
0 29 0 0.001348712518
0 30 0 0.000276141858
0 31 0 0.003234854897
1 0 0 0.000048768525
1 2 0 0.000791717362
1 3 0 0.000260912647
1 4 0 0.000746300492
1 5 0 0.001918640386
1 6 0 0.001052988221
1 7 0 0.000223215599
1 8 0 0.000738803652
1 9 0 0.000049546322
1 10 0 0.000822495255
1 11 0 0.002102446192
1 12 0 0.000869079953
1 13 0 0.000058348599
1 14 0 0.000190165958
1 15 0 0.002370041028
1 16 0 0.000133984810
1 17 0 0.002155707095
1 18 0 0.005965842334
1 19 0 0.001843883464
1 20 0 0.002089164817
1 21 0 0.000024714211
1 22 0 0.000040404761
1 23 0 0.000251444467
1 24 0 0.002407658889
1 25 0 0.001569560635
1 26 0 0.000202461283
1 27 0 0.000082858745
1 28 0 0.001068451654
1 29 0 0.000109850415
1 30 0 0.000022491300
1 31 0 0.000263473608
2 0 0 0.000158010599
2 1 0 0.002269780515
2 3 0 0.000845360069
2 4 0 0.002418022446
2 5 0 0.006216417606
2 6 0 0.003411694324
2 7 0 0.000723221189
2 8 0 0.002393732596
2 9 0 0.000160530670
2 10 0 0.002664894380
2 11 0 0.006811950599
2 12 0 0.002815829355
2 13 0 0.000189050151
2 14 0 0.000616139958
2 15 0 0.007678961041
2 16 0 0.000434112372
2 17 0 0.006984516557
2 18 0 0.019329399921
2 19 0 0.005974204294
2 20 0 0.006768918786
2 21 0 0.000080074335
2 22 0 0.000130911906
2 23 0 0.000814683054
2 24 0 0.007800843356
2 25 0 0.005085395075
2 26 0 0.000655976957
2 27 0 0.000268463317
2 28 0 0.003461796032
2 29 0 0.000355916648
2 30 0 0.000072872079
2 31 0 0.000853657616
3 0 0 0.000046641725
3 1 0 0.000669996060
3 2 0 0.000757190496
3 4 0 0.000713754260
3 5 0 0.001834968304
3 6 0 0.001007067308
3 7 0 0.000213481147
3 8 0 0.000706584358
3 9 0 0.000047385602
3 10 0 0.000786626162
3 11 0 0.002010758323
3 12 0 0.000831179297
3 13 0 0.000055804011
3 14 0 0.000181872803
3 15 0 0.002266683323
3 16 0 0.000128141720
3 17 0 0.002061696513
3 18 0 0.005705671407
3 19 0 0.001763471539
3 20 0 0.001998056149
3 21 0 0.000023636422
3 22 0 0.000038642706
3 23 0 0.000240478950
3 24 0 0.002302660666
3 25 0 0.001501111953
3 26 0 0.000193631928
3 27 0 0.000079245268
3 28 0 0.001021856380
3 29 0 0.000105059829
3 30 0 0.000021510452
3 31 0 0.000251983500
4 0 0 0.000616582883
4 1 0 0.008857050253
4 2 0 0.010009721968
4 3 0 0.003298731560
4 5 0 0.024257465768
4 6 0 0.013312982413
4 7 0 0.002822125917
4 8 0 0.009340731299
4 9 0 0.000626416608
4 10 0 0.010398848387
4 11 0 0.026581331715
4 12 0 0.010987821043
4 13 0 0.000737704232
4 14 0 0.002404277655
4 15 0 0.029964546524
4 16 0 0.001693976607
4 17 0 0.027254711961
4 18 0 0.075426441173
4 19 0 0.023312310295
4 20 0 0.026413414629
4 21 0 0.000312462993
4 22 0 0.000510839407
4 23 0 0.003179024889
4 24 0 0.030440151007
4 25 0 0.019844033132
4 26 0 0.002559728060
4 27 0 0.001047587235
4 28 0 0.013508487375
4 29 0 0.001388844260
4 30 0 0.000284358623
4 31 0 0.003331109926
5 0 0 0.000171515950
5 1 0 0.002463781321
5 2 0 0.002784422049
5 3 0 0.000917613987
5 4 0 0.002624693664
5 6 0 0.003703295844
5 7 0 0.000785035754
5 8 0 0.002598327732
5 9 0 0.000174251415
5 10 0 0.002892666032
5 11 0 0.007394176017
5 12 0 0.003056501597
5 13 0 0.000205208490
5 14 0 0.000668802164
5 15 0 0.008335290859
5 16 0 0.000471216466
5 17 0 0.007581491390
5 18 0 0.020981506433
5 19 0 0.006484826552
5 20 0 0.007347466225
5 21 0 0.000086918383
5 22 0 0.000142101101
5 23 0 0.000884314971
5 24 0 0.008467590599
5 25 0 0.005520049764
5 26 0 0.000712044078
5 27 0 0.000291409192
5 28 0 0.003757679805
5 29 0 0.000386337262
5 30 0 0.000079100541
5 31 0 0.000926620735
6 0 0 0.000013967522
6 1 0 0.000200639767
6 2 0 0.000226751370
6 3 0 0.000074726541
6 4 0 0.000213743777
6 5 0 0.000549507132
6 7 0 0.000063929939
6 8 0 0.000211596649
6 9 0 0.000014190287
6 10 0 0.000235566296
6 11 0 0.000602149931
6 12 0 0.000248908360
6 13 0 0.000016711298
6 14 0 0.000054464375
6 15 0 0.000678790281
6 16 0 0.000038373845
6 17 0 0.000617404091
6 18 0 0.001708643753
6 19 0 0.000528096417
6 20 0 0.000598346086
6 21 0 0.000007078260
6 22 0 0.000011572103
6 23 0 0.000072014812
6 24 0 0.000689564204
6 25 0 0.000449529140
6 26 0 0.000057985811
6 27 0 0.000023731113
6 28 0 0.000306009301
6 29 0 0.000031461647
6 30 0 0.000006441608
6 31 0 0.000075460012
7 0 0 0.000138608039
7 1 0 0.001991067871
7 2 0 0.002250188859
7 3 0 0.000741555962
7 4 0 0.002121106764
7 5 0 0.005453086449
7 6 0 0.002992762916
7 8 0 0.002099799532
7 9 0 0.000140818664
7 10 0 0.002337664609
7 11 0 0.005975492294
7 12 0 0.002470065860
7 13 0 0.000165836159
7 14 0 0.000540482424
7 15 0 0.006736040119
7 16 0 0.000380806510
7 17 0 0.006126868400
7 18 0 0.016955889300
7 19 0 0.005240615181
7 20 0 0.005937744477
7 21 0 0.000070241786
7 22 0 0.000114836870
7 23 0 0.000714645862
