s t h tm
0 1 0 0.023125263821
0 2 0 0.012722564738
0 3 0 0.027228317436
0 4 0 0.000530538259
0 5 0 0.007621041951
0 6 0 0.008612857425
0 7 0 0.002838390986
0 8 0 0.008118780815
0 9 0 0.020872317414
0 10 0 0.011455145287
0 11 0 0.002428296034
0 12 0 0.008037224928
0 13 0 0.000538999679
0 14 0 0.008947680947
0 15 0 0.022871886048
0 16 0 0.009454462008
0 17 0 0.000634757028
0 18 0 0.002068758824
0 19 0 0.025782970580
0 20 0 0.001457580844
0 21 0 0.023451295552
0 22 0 0.064900622210
0 23 0 0.020059059128
0 24 0 0.022727401922
0 25 0 0.000268858537
0 26 0 0.000439551367
0 27 0 0.002735389475
1 0 0 0.000766210669
1 2 0 0.001036231962
1 3 0 0.002217701649
1 4 0 0.000043211468
1 5 0 0.000620721326
1 6 0 0.000701503064
1 7 0 0.000231182275
1 8 0 0.000661261337
1 9 0 0.001700015907
1 10 0 0.000933002733
1 11 0 0.000197780716
1 12 0 0.000654618745
1 13 0 0.000043900637
1 14 0 0.000728773889
1 15 0 0.001862877482
1 16 0 0.000770050373
1 17 0 0.000051699915
1 18 0 0.000168497002
1 19 0 0.002099980526
1 20 0 0.000118717561
1 21 0 0.001910069432
1 22 0 0.005286048881
1 23 0 0.001633777358
1 24 0 0.001851109487
1 25 0 0.000021898085
1 26 0 0.000035800736
1 27 0 0.000222792971
2 0 0 0.002482531655
2 1 0 0.006102609917
2 3 0 0.007185379647
2 4 0 0.000140005669
2 5 0 0.002011144458
2 6 0 0.002272878249
2 7 0 0.000749033313
2 8 0 0.002142494576
2 9 0 0.005508071701
2 10 0 0.003022939922
2 11 0 0.000640811866
2 12 0 0.002120972497
2 13 0 0.000142238584
2 14 0 0.002361236045
2 15 0 0.006035745135
2 16 0 0.002494972341
2 17 0 0.000167508339
2 18 0 0.000545932285
2 19 0 0.006803961812
2 20 0 0.000384646306
2 21 0 0.006188647615
2 22 0 0.017126861071
2 23 0 0.005293458016
2 24 0 0.005997616694
2 25 0 0.000070950057
2 26 0 0.000115994808
2 27 0 0.000721851870
3 0 0 0.000732796152
3 1 0 0.001801374438
3 2 0 0.000991041792
3 4 0 0.000041327012
3 5 0 0.000593651613
3 6 0 0.000670910452
3 7 0 0.000221100395
