i j cap
0 3 1
3 0 1
0 1 1
1 0 1
0 7 1
7 0 1
1 23 1
23 1 1
2 13 1
13 2 1
2 22 1
22 2 1
2 3 1
3 2 1
4 5 1
5 4 1
4 15 1
15 4 1
4 29 1
29 4 1
5 16 1
16 5 1
6 25 1
25 6 1
6 7 1
7 6 1
8 30 1
30 8 1
8 9 1
9 8 1
9 16 1
16 9 1
10 11 1
11 10 1
10 19 1
19 10 1
11 12 1
12 11 1
12 17 1
17 12 1
13 19 1
19 13 1
13 20 1
20 13 1
14 19 1
19 14 1
14 15 1
15 14 1
17 18 1
18 17 1
18 20 1
20 18 1
21 22 1
22 21 1
21 30 1
30 21 1
23 24 1
24 23 1
24 25 1
25 24 1
25 29 1
29 25 1
25 26 1
26 25 1
26 27 1
27 26 1
27 28 1
28 27 1
28 29 1
29 28 1
