s t k edges
7 3 0 7-0,0-3
7 3 1 7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2,2-3
7 3 2 7-6,6-25,25-24,24-23,23-1,1-0,0-3
20 25 0 20-13,13-2,2-3,3-0,0-7,7-6,6-25
20 25 1 20-18,18-17,17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25
20 25 2 20-13,13-19,19-14,14-15,15-4,4-29,29-25
16 9 0 16-9
16 9 1 16-5,5-4,4-15,15-14,14-19,19-13,13-2,2-22,22-21,21-30,30-8,8-9
16 9 2 16-5,5-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9
6 28 0 6-25,25-29,29-28
6 28 1 6-7,7-0,0-1,1-23,23-24,24-25,25-26,26-27,27-28
6 28 2 6-25,25-26,26-27,27-28
21 28 0 21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-28
21 28 1 21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-26,26-27,27-28
21 28 2 21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-28
19 4 0 19-14,14-15,15-4
19 4 1 19-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4
19 4 2 19-13,13-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5,5-4
17 20 0 17-18,18-20
17 20 1 17-12,12-11,11-10,10-19,19-13,13-20
17 20 2 17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20
7 25 0 7-6,6-25
7 25 1 7-0,0-1,1-23,23-24,24-25
7 25 2 7-0,0-3,3-2,2-13,13-19,19-14,14-15,15-4,4-29,29-25
22 19 0 22-2,2-13,13-19
22 19 1 22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-15,15-14,14-19
22 19 2 22-2,2-13,13-20,20-18,18-17,17-12,12-11,11-10,10-19
20 7 0 20-13,13-2,2-3,3-0,0-7
20 7 1 20-18,18-17,17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7
20 7 2 20-13,13-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7
18 19 0 18-20,20-13,13-19
18 19 1 18-17,17-12,12-11,11-10,10-19
18 19 2 18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19
23 26 0 23-24,24-25,25-26
23 26 1 23-1,1-0,0-7,7-6,6-25,25-29,29-28,28-27,27-26
23 26 2 23-1,1-0,0-7,7-6,6-25,25-26
21 6 0 21-22,22-2,2-3,3-0,0-7,7-6
21 6 1 21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-25,25-6
21 6 2 21-22,22-2,2-3,3-0,0-1,1-23,23-24,24-25,25-6
8 5 0 8-9,9-16,16-5
8 5 1 8-30,30-21,21-22,22-2,2-13,13-19,19-14,14-15,15-4,4-5
8 5 2 8-30,30-21,21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-5
9 0 0 9-8,8-30,30-21,21-22,22-2,2-3,3-0
9 0 1 9-16,16-5,5-4,4-29,29-25,25-6,6-7,7-0
9 0 2 9-16,16-5,5-4,4-29,29-25,25-24,24-23,23-1,1-0
10 7 0 10-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7
10 7 1 10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7
10 7 2 10-19,19-13,13-2,2-3,3-0,0-7
15 30 0 15-4,4-5,5-16,16-9,9-8,8-30
15 30 1 15-14,14-19,19-13,13-2,2-22,22-21,21-30
15 30 2 15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-22,22-21,21-30
11 22 0 11-12,12-17,17-18,18-20,20-13,13-2,2-22
11 22 1 11-10,10-19,19-14,14-15,15-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22
11 22 2 11-10,10-19,19-13,13-2,2-22
0 17 0 0-3,3-2,2-13,13-20,20-18,18-17
0 17 1 0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17
0 17 2 0-3,3-2,2-13,13-19,19-10,10-11,11-12,12-17
24 14 0 24-25,25-29,29-4,4-15,15-14
24 14 1 24-23,23-1,1-0,0-3,3-2,2-13,13-19,19-14
24 14 2 24-25,25-26,26-27,27-28,28-29,29-4,4-15,15-14
14 1 0 14-19,19-13,13-2,2-3,3-0,0-1
14 1 1 14-15,15-4,4-29,29-25,25-24,24-23,23-1
14 1 2 14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-1
12 17 0 12-17
12 17 1 12-11,11-10,10-19,19-13,13-20,20-18,18-17
12 17 2 12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17
1 28 0 1-23,23-24,24-25,25-29,29-28
1 28 1 1-0,0-7,7-6,6-25,25-26,26-27,27-28
1 28 2 1-0,0-7,7-6,6-25,25-29,29-28
25 15 0 25-29,29-4,4-15
25 15 1 25-6,6-7,7-0,0-3,3-2,2-13,13-19,19-14,14-15
25 15 2 25-26,26-27,27-28,28-29,29-4,4-15
15 4 0 15-4
15 4 1 15-14,14-19,19-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4
15 4 2 15-14,14-19,19-13,13-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5,5-4
13 20 0 13-20
13 20 1 13-19,19-10,10-11,11-12,12-17,17-18,18-20
13 20 2 13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17,17-18,18-20
2 27 0 2-3,3-0,0-7,7-6,6-25,25-26,26-27
2 27 1 2-13,13-19,19-14,14-15,15-4,4-29,29-28,28-27
2 27 2 2-3,3-0,0-1,1-23,23-24,24-25,25-26,26-27
26 12 0 26-27,27-28,28-29,29-4,4-15,15-14,14-19,19-10,10-11,11-12
26 12 1 26-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17,17-12
26 12 2 26-25,25-29,29-4,4-15,15-14,14-19,19-10,10-11,11-12
29 17 0 29-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17
29 17 1 29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17
29 17 2 29-4,4-15,15-14,14-19,19-13,13-20,20-18,18-17
3 2 0 3-2
3 2 1 3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2
3 2 2 3-0,0-1,1-23,23-24,24-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2
27 1 0 27-26,26-25,25-24,24-23,23-1
27 1 1 27-28,28-29,29-25,25-6,6-7,7-0,0-1
27 1 2 27-28,28-29,29-25,25-24,24-23,23-1
30 14 0 30-21,21-22,22-2,2-13,13-19,19-14
30 14 1 30-8,8-9,9-16,16-5,5-4,4-15,15-14
30 14 2 30-21,21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14
4 5 0 4-5
4 5 1 4-15,15-14,14-19,19-13,13-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5
4 5 2 4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5
28 10 0 28-29,29-4,4-15,15-14,14-19,19-10
28 10 1 28-27,27-26,26-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17,17-12,12-11,11-10
28 10 2 28-27,27-26,26-25,25-29,29-4,4-15,15-14,14-19,19-10
5 24 0 5-4,4-29,29-25,25-24
5 24 1 5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-3,3-0,0-1,1-23,23-24
5 24 2 5-4,4-29,29-28,28-27,27-26,26-25,25-24
29 11 0 29-4,4-15,15-14,14-19,19-10,10-11
29 11 1 29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17,17-12,12-11
29 11 2 29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-19,19-10,10-11
16 0 0 16-5,5-4,4-29,29-25,25-6,6-7,7-0
16 0 1 16-9,9-8,8-30,30-21,21-22,22-2,2-3,3-0
16 0 2 16-5,5-4,4-29,29-25,25-24,24-23,23-1,1-0
6 23 0 6-25,25-24,24-23
6 23 1 6-7,7-0,0-1,1-23
6 23 2 6-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2,2-3,3-0,0-1,1-23
30 16 0 30-8,8-9,9-16
30 16 1 30-21,21-22,22-2,2-13,13-19,19-14,14-15,15-4,4-5,5-16
30 16 2 30-21,21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-5,5-16
19 13 0 19-13
19 13 1 19-10,10-11,11-12,12-17,17-18,18-20,20-13
19 13 2 19-14,14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13
17 13 0 17-18,18-20,20-13
17 13 1 17-12,12-11,11-10,10-19,19-13
17 13 2 17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13
7 22 0 7-0,0-3,3-2,2-22
7 22 1 7-6,6-25,25-29,29-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22
7 22 2 7-6,6-25,25-24,24-23,23-1,1-0,0-3,3-2,2-22
20 14 0 20-18,18-17,17-12,12-11,11-10,10-19,19-14
20 14 1 20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14
20 14 2 20-13,13-19,19-14
18 10 0 18-17,17-12,12-11,11-10
18 10 1 18-20,20-13,13-19,19-10
18 10 2 18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-10
23 19 0 23-1,1-0,0-3,3-2,2-13,13-19
23 19 1 23-24,24-25,25-29,29-4,4-15,15-14,14-19
23 19 2 23-24,24-25,25-6,6-7,7-0,0-3,3-2,2-13,13-19
21 15 0 21-22,22-2,2-13,13-19,19-14,14-15
21 15 1 21-30,30-8,8-9,9-16,16-5,5-4,4-15
21 15 2 21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15
8 12 0 8-30,30-21,21-22,22-2,2-13,13-20,20-18,18-17,17-12
8 12 1 8-9,9-16,16-5,5-4,4-15,15-14,14-19,19-10,10-11,11-12
8 12 2 8-30,30-21,21-22,22-2,2-13,13-19,19-10,10-11,11-12
22 12 0 22-2,2-13,13-20,20-18,18-17,17-12
22 12 1 22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-15,15-14,14-19,19-10,10-11,11-12
22 12 2 22-2,2-13,13-19,19-10,10-11,11-12
23 9 0 23-24,24-25,25-29,29-4,4-5,5-16,16-9
23 9 1 23-1,1-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9
23 9 2 23-24,24-25,25-26,26-27,27-28,28-29,29-4,4-5,5-16,16-9
10 14 0 10-19,19-14
10 14 1 10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14
10 14 2 10-11,11-12,12-17,17-18,18-20,20-13,13-19,19-14
8 18 0 8-30,30-21,21-22,22-2,2-13,13-20,20-18
8 18 1 8-9,9-16,16-5,5-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17,17-18
8 18 2 8-9,9-16,16-5,5-4,4-15,15-14,14-19,19-13,13-20,20-18
11 15 0 11-10,10-19,19-14,14-15
11 15 1 11-12,12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15
11 15 2 11-12,12-17,17-18,18-20,20-13,13-19,19-14,14-15
9 19 0 9-16,16-5,5-4,4-15,15-14,14-19
9 19 1 9-8,8-30,30-21,21-22,22-2,2-13,13-19
9 19 2 9-16,16-5,5-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-19
24 21 0 24-23,23-1,1-0,0-3,3-2,2-22,22-21
24 21 1 24-25,25-29,29-4,4-5,5-16,16-9,9-8,8-30,30-21
24 21 2 24-25,25-6,6-7,7-0,0-3,3-2,2-22,22-21
14 8 0 14-15,15-4,4-5,5-16,16-9,9-8
14 8 1 14-19,19-13,13-2,2-22,22-21,21-30,30-8
14 8 2 14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-22,22-21,21-30,30-8
12 8 0 12-17,17-18,18-20,20-13,13-2,2-22,22-21,21-30,30-8
12 8 1 12-11,11-10,10-19,19-14,14-15,15-4,4-5,5-16,16-9,9-8
12 8 2 12-11,11-10,10-19,19-13,13-2,2-22,22-21,21-30,30-8
1 21 0 1-0,0-3,3-2,2-22,22-21
1 21 1 1-23,23-24,24-25,25-29,29-4,4-5,5-16,16-9,9-8,8-30,30-21
1 21 2 1-23,23-24,24-25,25-6,6-7,7-0,0-3,3-2,2-22,22-21
25 16 0 25-29,29-4,4-5,5-16
25 16 1 25-6,6-7,7-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9,9-16
25 16 2 25-26,26-27,27-28,28-29,29-4,4-5,5-16
15 13 0 15-14,14-19,19-13
15 13 1 15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13
15 13 2 15-14,14-19,19-10,10-11,11-12,12-17,17-18,18-20,20-13
2 18 0 2-13,13-20,20-18
2 18 1 2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17,17-18
2 18 2 2-13,13-19,19-10,10-11,11-12,12-17,17-18
26 23 0 26-25,25-24,24-23
26 23 1 26-27,27-28,28-29,29-25,25-6,6-7,7-0,0-1,1-23
26 23 2 26-27,27-28,28-29,29-25,25-24,24-23
0 14 0 0-3,3-2,2-13,13-19,19-14
0 14 1 0-7,7-6,6-25,25-29,29-4,4-15,15-14
0 14 2 0-1,1-23,23-24,24-25,25-29,29-4,4-15,15-14
3 11 0 3-2,2-13,13-20,20-18,18-17,17-12,12-11
3 11 1 3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-10,10-11
3 11 2 3-2,2-13,13-19,19-10,10-11
27 6 0 27-26,26-25,25-6
27 6 1 27-28,28-29,29-25,25-24,24-23,23-1,1-0,0-7,7-6
27 6 2 27-28,28-29,29-25,25-6
1 15 0 1-23,23-24,24-25,25-29,29-4,4-15
1 15 1 1-0,0-3,3-2,2-13,13-19,19-14,14-15
1 15 2 1-0,0-7,7-6,6-25,25-29,29-4,4-15
4 12 0 4-15,15-14,14-19,19-10,10-11,11-12
4 12 1 4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17,17-12
4 12 2 4-15,15-14,14-19,19-13,13-20,20-18,18-17,17-12
28 1 0 28-29,29-25,25-24,24-23,23-1
28 1 1 28-27,27-26,26-25,25-6,6-7,7-0,0-1
28 1 2 28-27,27-26,26-25,25-24,24-23,23-1
2 12 0 2-13,13-20,20-18,18-17,17-12
2 12 1 2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-10,10-11,11-12
2 12 2 2-13,13-19,19-10,10-11,11-12
5 1 0 5-4,4-29,29-25,25-24,24-23,23-1
5 1 1 5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-3,3-0,0-1
5 1 2 5-4,4-29,29-25,25-6,6-7,7-0,0-1
29 4 0 29-4
29 4 1 29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-19,19-14,14-15,15-4
29 4 2 29-25,25-24,24-23,23-1,1-0,0-3,3-2,2-13,13-19,19-14,14-15,15-4
3 17 0 3-2,2-13,13-20,20-18,18-17
3 17 1 3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17
3 17 2 3-2,2-13,13-19,19-10,10-11,11-12,12-17
16 7 0 16-5,5-4,4-29,29-25,25-6,6-7
16 7 1 16-9,9-8,8-30,30-21,21-22,22-2,2-3,3-0,0-7
16 7 2 16-5,5-4,4-29,29-28,28-27,27-26,26-25,25-6,6-7
6 14 0 6-25,25-29,29-4,4-15,15-14
6 14 1 6-7,7-0,0-3,3-2,2-13,13-19,19-14
6 14 2 6-25,25-26,26-27,27-28,28-29,29-4,4-15,15-14
30 27 0 30-8,8-9,9-16,16-5,5-4,4-29,29-28,28-27
30 27 1 30-21,21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-26,26-27
30 27 2 30-8,8-9,9-16,16-5,5-4,4-29,29-25,25-26,26-27
19 18 0 19-13,13-20,20-18
19 18 1 19-10,10-11,11-12,12-17,17-18
19 18 2 19-14,14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18
17 6 0 17-18,18-20,20-13,13-2,2-3,3-0,0-7,7-6
17 6 1 17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-6
