s t h tm
0 1 0 0.000559146252
0 2 0 0.008031988214
0 3 0 0.009077284939
0 4 0 0.002991444358
0 5 0 0.008556566442
0 6 0 0.021997806671
0 7 0 0.012072836303
0 8 0 0.002559236027
0 9 0 0.008470612852
0 10 0 0.000568063934
0 11 0 0.009430163010
0 12 0 0.024105197209
0 13 0 0.009964271015
0 14 0 0.000668984767
0 15 0 0.002180311643
0 16 0 0.027173254936
0 17 0 0.001536177368
0 18 0 0.024715849970
0 19 0 0.068400231362
0 20 0 0.021140695398
0 21 0 0.023952922126
0 22 0 0.000283356084
0 23 0 0.000463253112
0 24 0 0.002882888740
0 25 0 0.027604555368
0 26 0 0.017995499141
0 27 0 0.002321281355
0 28 0 0.000950001195
0 29 0 0.012250129363
0 30 0 0.001259469056
1 0 0 0.002337285849
1 2 0 0.000654192223
1 3 0 0.000739329921
1 4 0 0.000243648220
1 5 0 0.000696918256
1 6 0 0.001791685155
1 7 0 0.000983312650
1 8 0 0.000208445563
1 9 0 0.000689917478
1 10 0 0.000046267873
1 11 0 0.000768071259
1 12 0 0.001963328646
1 13 0 0.000811573477
1 14 0 0.000054487708
1 15 0 0.000177582795
1 16 0 0.002213216899
1 17 0 0.000125119119
1 18 0 0.002013065309
1 19 0 0.005571086288
1 20 0 0.001721874852
1 21 0 0.001950926091
1 22 0 0.000023078887
1 23 0 0.000037731204
1 24 0 0.000234806544
1 25 0 0.002248345610
1 26 0 0.001465703792
1 27 0 0.000189064547
1 28 0 0.000077376034
1 29 0 0.000997752878
1 30 0 0.000102581682
2 0 0 0.007572833873
2 1 0 0.000147555137
2 3 0 0.002395437713
2 4 0 0.000789423124
2 5 0 0.002258023417
2 6 0 0.005805081151
2 7 0 0.003185944650
2 8 0 0.000675366097
2 9 0 0.002235340811
2 10 0 0.000149908456
2 11 0 0.002488559990
2 12 0 0.006361208100
2 13 0 0.002629507692
2 14 0 0.000176540821
2 15 0 0.000575370364
2 16 0 0.007170849004
2 17 0 0.000405387429
2 18 0 0.006522355476
2 19 0 0.018050385649
2 20 0 0.005578894943
2 21 0 0.006321023675
2 22 0 0.000074775867
2 23 0 0.000122249547
2 24 0 0.000760775987
2 25 0 0.007284666443
2 26 0 0.004748897671
2 27 0 0.000612571373
2 28 0 0.000250699268
2 29 0 0.003232731160
2 30 0 0.000332365867
3 0 0 0.002235356601
