i j cap
0 1 100000.0
0 2 100000.0
0 4 100000.0
0 6 10000.0
0 31 100000.0
1 0 100000.0
1 26 100000.0
2 0 100000.0
2 4 100000.0
2 25 10000.0
2 27 100000.0
2 28 100000.0
2 29 10000.0
2 31 100000.0
3 5 10000.0
3 23 10000.0
3 31 30000.0
4 0 100000.0
4 2 100000.0
5 3 10000.0
5 17 100000.0
5 31 100000.0
6 0 10000.0
6 31 10000.0
7 8 100000.0
7 19 30000.0
7 26 100000.0
8 7 100000.0
8 9 100000.0
8 24 100000.0
8 31 100000.0
9 8 100000.0
9 13 20000.0
9 22 100000.0
9 24 100000.0
10 16 10000.0
10 22 10000.0
11 16 10000.0
11 22 10000.0
12 16 20000.0
12 31 10000.0
13 9 20000.0
13 22 20000.0
14 26 1000.0
14 31 1000.0
15 26 10000.0
15 31 10000.0
16 10 10000.0
16 11 10000.0
16 12 20000.0
16 17 100000.0
16 20 100000.0
17 5 100000.0
17 16 100000.0
17 22 100000.0
18 19 10000.0
18 26 10000.0
19 7 30000.0
19 18 10000.0
19 24 100000.0
20 16 100000.0
20 21 100000.0
21 20 100000.0
21 22 100000.0
22 9 100000.0
22 10 10000.0
22 11 10000.0
22 13 20000.0
22 17 100000.0
22 21 100000.0
23 3 10000.0
23 30 10000.0
24 8 100000.0
24 9 100000.0
24 19 100000.0
25 2 10000.0
25 26 2500.0
26 1 100000.0
26 7 100000.0
26 14 1000.0
26 15 10000.0
26 18 10000.0
26 25 2500.0
27 2 100000.0
27 28 100000.0
28 2 100000.0
28 27 100000.0
29 2 10000.0
29 30 10000.0
30 23 10000.0
30 29 10000.0
31 0 100000.0
31 2 100000.0
31 3 30000.0
31 5 100000.0
31 6 10000.0
31 8 100000.0
31 12 10000.0
31 14 1000.0
31 15 10000.0
