s t h tm
0 1 0 8.20388248352
0 2 0 0.295877728914
0 3 0 5.05681936689
0 4 0 0.242081778202
0 5 0 12.9917220969
0 6 0 16.3539690163
0 7 0 6.0251464797
0 8 0 9.62947517738
0 9 0 6.45551408539
0 10 0 16.4884588931
0 11 0 6.15963635648
0 12 0 16.0311933121
0 13 0 8.44596426172
0 14 0 9.14531162097
0 15 0 6.37482015932
0 16 0 3.25465501805
0 17 0 13.9331512343
0 18 0 8.90322984277
0 19 0 8.49976021243
0 20 0 7.55833107498
0 21 0 5.67547280007
0 22 0 9.89845493093
0 23 0 5.3526970958
0 24 0 5.70237077543
0 25 0 16.703642696
0 26 0 6.88588169108
0 27 0 3.41604287019
0 28 0 12.6689463926
0 29 0 5.83686065221
0 30 0 5.40649304652
0 31 0 9.33359744846
1 0 0 102.603265296
1 2 0 2.50807981835
1 3 0 42.8653641682
1 4 0 2.05206530592
1 5 0 110.127504751
1 6 0 138.628411778
1 7 0 51.0736253919
1 8 0 81.6265977245
1 9 0 54.7217414913
1 10 0 139.768448059
1 11 0 52.2136616729
1 12 0 135.892324703
1 13 0 71.5942784511
1 14 0 77.5224671127
1 15 0 54.0377197226
1 16 0 27.5888780019
1 17 0 118.107758719
1 18 0 75.4704018067
1 19 0 72.0502929635
1 20 0 64.070038996
1 21 0 48.1095310611
1 22 0 83.9066702866
1 23 0 45.3734439865
1 24 0 48.3375383173
1 25 0 141.592506109
1 26 0 58.3698575907
1 27 0 28.9569215391
1 28 0 107.391417677
1 29 0 49.4775745984
1 30 0 45.829458499
1 31 0 79.1185179062
2 0 0 10.5558914914
2 1 0 7.15454867749
2 3 0 4.41001688973
2 4 0 0.211117829827
2 5 0 11.3299902007
2 6 0 14.2621822817
2 7 0 5.25448820904
2 8 0 8.3977981198
2 9 0 5.6298087954
2 10 0 14.3794699649
2 11 0 5.37177589228
2 12 0 13.9806918419
2 13 0 7.36566650731
2 14 0 7.97556246015
2 15 0 5.55943618546
2 16 0 2.83836193435
2 17 0 12.1510039834
2 18 0 7.76444463032
2 19 0 7.41258158061
2 20 0 6.59156779795
2 21 0 4.94954023262
2 22 0 8.63237348628
2 23 0 4.66804979285
2 24 0 4.97299776927
2 25 0 14.5671302581
2 26 0 6.00512938176
2 27 0 2.97910715423
2 28 0 11.048499761
2 29 0 5.09028545251
2 30 0 4.71496486615
2 31 0 8.13976521668
3 0 0 23.3637065009
3 1 0 15.8354010728
3 2 0 0.571112825578
3 4 0 0.467274130018
3 5 0 25.0770449776
3 6 0 31.5669634501
3 7 0 11.6299339027
3 8 0 18.5871265052
3 9 0 12.4606434672
3 10 0 31.826560189
3 11 0 11.8895306416
3 12 0 30.9439312768
3 13 0 16.3026752029
3 14 0 17.6525782451
3 15 0 12.3048854238
3 16 0 6.28224108136
3 17 0 26.8942221499
3 18 0 17.1853041151
3 19 0 16.4065138984
3 20 0 14.5893367261
3 21 0 10.9549823815
3 22 0 19.106319983
3 23 0 10.3319502082
3 24 0 11.0069017293
3 25 0 32.2419149713
3 26 0 13.2913530316
3 27 0 6.59375716803
3 28 0 24.4540128043
3 29 0 11.2664984682
3 30 0 10.4357889037
3 31 0 18.0160136796
4 0 0 104.855188814
4 1 0 71.068516863
4 2 0 2.56312683768
4 3 0 43.8061677713
4 5 0 112.544569327
4 6 0 141.671010665
4 7 0 52.1945828765
4 8 0 83.4181279901
4 9 0 55.9227673676
4 10 0 142.836068318
4 11 0 53.35964053
4 12 0 138.874872296
4 13 0 73.1656206393
4 14 0 79.2239204375
4 15 0 55.2237327755
4 16 0 28.1943952145
4 17 0 120.699972902
4 18 0 77.1268166612
4 19 0 73.6316437007
4 20 0 65.4762401263
4 21 0 49.1654329774
4 22 0 85.748243297
4 23 0 46.369294609
4 24 0 49.3984445081
4 25 0 144.700160564
4 26 0 59.6509518588
4 27 0 29.5924643987
4 28 0 109.748430959
4 29 0 50.5635021616
4 30 0 46.8353176704
4 31 0 80.8550011524
5 0 0 23.5044517208
5 1 0 15.9307950552
5 2 0 0.574553264286
5 3 0 9.8196376078
5 4 0 0.470089034416
5 6 0 31.7571258805
5 7 0 11.6999937455
5 8 0 18.6990971468
5 9 0 12.5357075844
5 10 0 32.0182864552
5 11 0 11.9611543201
5 12 0 31.1303405013
5 13 0 16.4008840896
5 14 0 17.7589190779
5 15 0 12.3790112396
5 16 0 6.32008590715
5 17 0 27.0562355364
5 18 0 17.2888300435
5 19 0 16.5053483195
5 20 0 14.6772242968
5 21 0 11.0209762513
5 22 0 19.2214182961
5 23 0 10.3941908721
5 24 0 11.0732083662
5 25 0 32.4361433747
5 26 0 13.3714214234
5 27 0 6.63347859676
5 28 0 24.6013261344
5 29 0 11.3343689409
5 30 0 10.498655102
5 31 0 18.1245438825
6 0 0 7.88173231356
6 1 0 5.34206301252
6 2 0 0.192664567665
6 3 0 3.292812611
6 4 0 0.157634646271
6 5 0 8.45972601655
6 7 0 3.92335119608
6 8 0 6.27035592945
6 9 0 4.20359056723
6 10 0 10.7366709071
6 11 0 4.01092599957
6 12 0 10.4389165753
6 13 0 5.4996976588
6 14 0 5.95508663691
6 15 0 4.15104568514
6 16 0 2.11931024431
6 17 0 9.07274964094
6 18 0 5.79745199064
6 19 0 5.53472758019
6 20 0 4.9217039558
6 21 0 3.69565670702
6 22 0 6.44550553642
6 23 0 3.48547717866
6 24 0 3.71317166772
6 25 0 10.8767905927
6 26 0 4.48382993838
6 27 0 2.22440000849
6 28 0 8.24954648819
6 29 0 3.80074647121
6 30 0 3.52050710006
6 31 0 6.07769136179
7 0 0 25.0526491395
7 1 0 16.9801288612
7 2 0 0.612398090077
7 3 0 10.466440085
7 4 0 0.501052982791
7 5 0 26.8898434098
7 6 0 33.8489126152
