s t h tm
0 1 0 0.016773876179
0 2 0 0.024196440105
0 3 0 0.042844739948
0 4 0 0.054395472285
0 5 0 0.048577428023
0 6 0 0.020407404543
0 7 0 0.031924750443
0 8 0 0.090612013304
0 9 0 0.009645186525
0 10 0 0.041524710999
0 11 0 0.027419041869
0 12 0 0.027668786618
0 13 0 0.068015975254
0 14 0 0.037419579516
0 15 0 0.080083867550
1 0 0 0.000946523720
1 2 0 0.001970760230
1 3 0 0.003489633565
1 4 0 0.004430421707
1 5 0 0.003956551575
1 6 0 0.001662149518
1 7 0 0.002600218389
1 8 0 0.007380199376
1 9 0 0.000785584571
1 10 0 0.003382119379
1 11 0 0.002233235841
1 12 0 0.002253577139
1 13 0 0.005539789260
1 14 0 0.003047763175
1 15 0 0.006522699229
2 0 0 0.003066748079
2 1 0 0.004426519148
2 3 0 0.011306454140
2 4 0 0.014354618877
2 5 0 0.012819274031
2 6 0 0.005385384154
2 7 0 0.008424738422
2 8 0 0.023911933512
2 9 0 0.002545303327
2 10 0 0.010958106903
2 11 0 0.007235710611
2 12 0 0.007301616660
2 13 0 0.017948982908
2 14 0 0.009874788837
2 15 0 0.021133622865
3 0 0 0.000905245734
3 1 0 0.001306624305
3 2 0 0.001884815197
3 4 0 0.004237210613
3 5 0 0.003784006001
3 6 0 0.001589663027
3 7 0 0.002486822629
3 8 0 0.007058348210
3 9 0 0.000751325156
3 10 0 0.003234624846
3 11 0 0.002135844222
3 12 0 0.002155298435
3 13 0 0.005298198547
3 14 0 0.002914849946
3 15 0 0.006238243723
4 0 0 0.011966946438
4 1 0 0.017272992824
4 2 0 0.024916419547
4 3 0 0.044119610624
4 5 0 0.050022878236
4 6 0 0.021014638982
4 7 0 0.032874690348
4 8 0 0.093308227560
4 9 0 0.009932184776
4 10 0 0.042760303429
4 11 0 0.028234911739
4 12 0 0.028492087792
4 13 0 0.070039830982
4 14 0 0.038533021323
4 15 0 0.082466810578
5 0 0 0.003328866639
5 1 0 0.004804858938
5 2 0 0.006931044457
5 3 0 0.012272830055
5 4 0 0.015581525011
5 6 0 0.005845679262
5 7 0 0.009144810710
