s t h tm
0 1 0 0.035190130008
0 2 0 0.062311313664
0 3 0 0.079110139064
0 4 0 0.070648657412
0 5 0 0.029679540291
0 6 0 0.046429810075
0 7 0 0.131781721386
0 8 0 0.014027491907
0 9 0 0.060391527524
0 10 0 0.039876925857
0 11 0 0.040240142518
0 12 0 0.098919138577
0 13 0 0.054421223218
0 14 0 0.116470096361
0 15 0 0.002269396274
0 16 0 0.032599278031
1 0 0 0.001986941786
1 2 0 0.005075153961
1 3 0 0.006443390646
1 4 0 0.005754216890
1 5 0 0.002417349717
1 6 0 0.003781631628
1 7 0 0.010733404352
1 8 0 0.001142516133
1 9 0 0.004918790539
1 10 0 0.003247909991
1 11 0 0.003277493390
1 12 0 0.008056801060
1 13 0 0.004432519078
1 14 0 0.009486297690
1 15 0 0.000184838592
1 16 0 0.002655157552
2 0 0 0.006437714954
2 1 0 0.009286451303
2 3 0 0.020876662117
2 4 0 0.018643730971
2 5 0 0.007832241755
2 6 0 0.012252531326
2 7 0 0.034776357406
2 8 0 0.003701765821
2 9 0 0.015936939686
2 10 0 0.010523266893
2 11 0 0.010619117458
2 12 0 0.026104130992
2 13 0 0.014361414384
2 14 0 0.030735717029
2 15 0 0.000598879231
2 16 0 0.008602741959
3 0 0 0.001900291074
3 1 0 0.002741183891
3 2 0 0.004853826035
3 4 0 0.005503274968
3 5 0 0.002311928876
3 6 0 0.003616714328
3 7 0 0.010265319612
3 8 0 0.001092690900
3 9 0 0.004704281636
3 10 0 0.003106268341
3 11 0 0.003134561606
3 12 0 0.007705443233
3 13 0 0.004239216518
3 14 0 0.009072599385
3 15 0 0.000176777764
3 16 0 0.002539365889
4 0 0 0.025121003770
4 1 0 0.036237233221
4 2 0 0.064165423799
4 3 0 0.081464108223
4 5 0 0.030562672635
4 6 0 0.047811356642
4 7 0 0.135702964750
4 8 0 0.014444888258
4 9 0 0.062188513283
4 10 0 0.041063487462
4 11 0 0.041437511851
4 12 0 0.101862536278
4 13 0 0.056040559027
4 14 0 0.119935733231
4 15 0 0.002336923508
4 16 0 0.033569288904
5 0 0 0.006987954012
5 1 0 0.010080175203
5 2 0 0.017849009330
5 3 0 0.022661014946
5 4 0 0.020237232553
