i j cap
0 5 1
5 0 1
0 20 1
20 0 1
1 5 1
5 1 1
1 20 1
20 1 1
2 5 1
5 2 1
2 20 1
20 2 1
3 5 1
5 3 1
3 20 1
20 3 1
4 5 1
5 4 1
4 20 1
20 4 1
5 12 1
12 5 1
5 7 1
7 5 1
5 8 1
8 5 1
5 6 1
6 5 1
5 20 1
20 5 1
5 15 1
15 5 1
5 24 1
24 5 1
5 19 1
19 5 1
5 18 1
18 5 1
6 24 1
24 6 1
6 20 1
20 6 1
7 20 1
20 7 1
8 24 1
24 8 1
8 20 1
20 8 1
8 23 1
23 8 1
9 16 1
16 9 1
9 14 1
14 9 1
9 15 1
15 9 1
10 16 1
16 10 1
10 14 1
14 10 1
10 15 1
15 10 1
11 24 1
24 11 1
11 12 1
12 11 1
12 13 1
13 12 1
12 26 1
26 12 1
12 20 1
20 12 1
12 25 1
25 12 1
12 24 1
24 12 1
12 22 1
22 12 1
13 24 1
24 13 1
14 16 1
16 14 1
14 15 1
15 14 1
15 17 1
17 15 1
15 16 1
16 15 1
15 24 1
24 15 1
16 20 1
20 16 1
16 17 1
17 16 1
18 20 1
20 18 1
19 20 1
20 19 1
20 21 1
21 20 1
20 23 1
23 20 1
20 24 1
24 20 1
21 22 1
22 21 1
24 26 1
26 24 1
24 25 1
25 24 1
