s t k edges
7 3 0 7-20,20-3
7 3 1 7-5,5-3
7 3 2 7-20,20-5,5-3
20 25 0 20-24,24-25
20 25 1 20-12,12-25
20 25 2 20-24,24-12,12-25
16 9 0 16-9
16 9 1 16-14,14-9
16 9 2 16-15,15-9
19 4 0 19-20,20-4
19 4 1 19-5,5-4
19 4 2 19-20,20-5,5-4
17 20 0 17-16,16-20
17 20 1 17-15,15-24,24-20
17 20 2 17-15,15-5,5-20
7 25 0 7-20,20-12,12-25
7 25 1 7-5,5-24,24-25
7 25 2 7-20,20-24,24-25
22 19 0 22-12,12-5,5-19
22 19 1 22-21,21-20,20-19
22 19 2 22-12,12-20,20-19
20 7 0 20-7
20 7 1 20-5,5-7
20 7 2 20-0,0-5,5-7
18 19 0 18-20,20-19
18 19 1 18-5,5-19
18 19 2 18-20,20-5,5-19
23 26 0 23-8,8-24,24-26
23 26 1 23-20,20-12,12-26
23 26 2 23-20,20-24,24-26
21 6 0 21-20,20-6
21 6 1 21-22,22-12,12-24,24-6
21 6 2 21-20,20-24,24-6
8 5 0 8-5
8 5 1 8-24,24-5
8 5 2 8-20,20-5
9 0 0 9-16,16-20,20-0
9 0 1 9-15,15-5,5-0
9 0 2 9-16,16-15,15-5,5-0
10 7 0 10-16,16-20,20-7
10 7 1 10-15,15-5,5-7
10 7 2 10-16,16-15,15-5,5-7
11 22 0 11-12,12-22
11 22 1 11-24,24-20,20-21,21-22
11 22 2 11-24,24-12,12-22
0 17 0 0-20,20-16,16-17
0 17 1 0-5,5-15,15-17
0 17 2 0-20,20-5,5-15,15-17
24 14 0 24-15,15-14
24 14 1 24-20,20-16,16-14
24 14 2 24-5,5-15,15-9,9-14
14 1 0 14-16,16-20,20-1
14 1 1 14-15,15-5,5-1
14 1 2 14-16,16-15,15-5,5-1
12 17 0 12-24,24-15,15-17
12 17 1 12-20,20-16,16-17
12 17 2 12-5,5-15,15-17
25 15 0 25-24,24-15
25 15 1 25-12,12-5,5-15
25 15 2 25-24,24-5,5-15
15 4 0 15-5,5-4
15 4 1 15-24,24-20,20-4
15 4 2 15-16,16-20,20-4
13 20 0 13-24,24-20
13 20 1 13-12,12-20
13 20 2 13-12,12-5,5-20
26 12 0 26-12
26 12 1 26-24,24-12
26 12 2 26-24,24-5,5-12
3 2 0 3-20,20-2
3 2 1 3-5,5-2
3 2 2 3-20,20-5,5-2
4 5 0 4-5
4 5 1 4-20,20-5
4 5 2 4-20,20-0,0-5
5 24 0 5-24
5 24 1 5-8,8-24
5 24 2 5-20,20-24
16 0 0 16-20,20-0
16 0 1 16-15,15-5,5-0
16 0 2 16-20,20-5,5-0
6 23 0 6-20,20-23
6 23 1 6-5,5-8,8-23
6 23 2 6-24,24-8,8-23
19 13 0 19-20,20-24,24-13
19 13 1 19-5,5-12,12-13
19 13 2 19-20,20-12,12-13
17 13 0 17-15,15-24,24-13
17 13 1 17-16,16-20,20-12,12-13
17 13 2 17-16,16-15,15-24,24-13
7 22 0 7-20,20-21,21-22
7 22 1 7-5,5-12,12-22
7 22 2 7-20,20-12,12-22
20 14 0 20-16,16-14
20 14 1 20-24,24-15,15-14
20 14 2 20-5,5-15,15-9,9-14
18 10 0 18-20,20-16,16-10
18 10 1 18-5,5-15,15-10
18 10 2 18-20,20-5,5-15,15-10
23 19 0 23-20,20-19
23 19 1 23-8,8-5,5-19
23 19 2 23-8,8-20,20-19
21 15 0 21-20,20-24,24-15
21 15 1 21-22,22-12,12-5,5-15
21 15 2 21-20,20-5,5-15
8 12 0 8-24,24-12
8 12 1 8-20,20-12
8 12 2 8-5,5-12
22 12 0 22-12
22 12 1 22-21,21-20,20-12
22 12 2 22-21,21-20,20-5,5-12
23 9 0 23-20,20-16,16-9
23 9 1 23-8,8-24,24-15,15-9
23 9 2 23-20,20-5,5-15,15-9
10 14 0 10-14
10 14 1 10-16,16-14
10 14 2 10-15,15-14
8 18 0 8-20,20-18
8 18 1 8-5,5-18
8 18 2 8-20,20-5,5-18
11 15 0 11-24,24-15
11 15 1 11-12,12-5,5-15
11 15 2 11-24,24-5,5-15
9 19 0 9-16,16-20,20-19
9 19 1 9-15,15-5,5-19
9 19 2 9-16,16-15,15-5,5-19
24 21 0 24-20,20-21
24 21 1 24-12,12-22,22-21
24 21 2 24-5,5-20,20-21
14 8 0 14-16,16-20,20-8
14 8 1 14-15,15-24,24-8
14 8 2 14-9,9-15,15-5,5-8
12 8 0 12-24,24-8
12 8 1 12-20,20-8
12 8 2 12-5,5-8
1 21 0 1-20,20-21
1 21 1 1-5,5-12,12-22,22-21
1 21 2 1-5,5-20,20-21
25 16 0 25-24,24-15,15-16
25 16 1 25-12,12-20,20-16
25 16 2 25-24,24-20,20-16
15 13 0 15-24,24-13
15 13 1 15-5,5-12,12-13
15 13 2 15-5,5-24,24-13
2 18 0 2-20,20-18
2 18 1 2-5,5-18
2 18 2 2-20,20-5,5-18
26 23 0 26-24,24-8,8-23
26 23 1 26-12,12-20,20-23
26 23 2 26-24,24-20,20-23
0 14 0 0-20,20-16,16-14
0 14 1 0-5,5-15,15-14
0 14 2 0-20,20-5,5-15,15-14
3 11 0 3-20,20-24,24-11
3 11 1 3-5,5-12,12-11
3 11 2 3-20,20-12,12-11
1 15 0 1-5,5-15
1 15 1 1-20,20-24,24-15
1 15 2 1-20,20-5,5-15
4 12 0 4-20,20-12
4 12 1 4-5,5-12
4 12 2 4-5,5-20,20-12
2 12 0 2-20,20-12
2 12 1 2-5,5-12
2 12 2 2-5,5-20,20-12
5 1 0 5-1
5 1 1 5-20,20-1
5 1 2 5-0,0-20,20-1
3 17 0 3-20,20-16,16-17
3 17 1 3-5,5-15,15-17
3 17 2 3-20,20-5,5-15,15-17
16 7 0 16-20,20-7
16 7 1 16-15,15-5,5-7
16 7 2 16-20,20-5,5-7
6 14 0 6-24,24-15,15-14
6 14 1 6-20,20-16,16-14
6 14 2 6-5,5-15,15-9,9-14
19 18 0 19-20,20-18
19 18 1 19-5,5-18
19 18 2 19-20,20-5,5-18
17 6 0 17-16,16-20,20-6
17 6 1 17-15,15-24,24-6
17 6 2 17-15,15-5,5-6
7 15 0 7-5,5-15
7 15 1 7-20,20-24,24-15
7 15 2 7-20,20-5,5-15
20 21 0 20-21
20 21 1 20-12,12-22,22-21
20 21 2 20-5,5-12,12-22,22-21
18 5 0 18-5
18 5 1 18-20,20-5
18 5 2 18-20,20-0,0-5
21 8 0 21-20,20-8
21 8 1 21-22,22-12,12-5,5-8
21 8 2 21-20,20-24,24-8
17 24 0 17-15,15-24
17 24 1 17-16,16-20,20-24
17 24 2 17-16,16-15,15-24
22 7 0 22-12,12-5,5-7
22 7 1 22-21,21-20,20-7
22 7 2 22-12,12-20,20-7
23 6 0 23-20,20-6
23 6 1 23-8,8-24,24-6
23 6 2 23-20,20-24,24-6
10 9 0 10-16,16-9
10 9 1 10-14,14-9
10 9 2 10-15,15-9
8 25 0 8-24,24-25
8 25 1 8-5,5-12,12-25
8 25 2 8-5,5-24,24-25
11 4 0 11-24,24-20,20-4
11 4 1 11-12,12-5,5-4
11 4 2 11-24,24-5,5-4
9 20 0 9-16,16-20
9 20 1 9-15,15-24,24-20
9 20 2 9-14,14-15,15-5,5-20
14 19 0 14-16,16-20,20-19
14 19 1 14-15,15-5,5-19
14 19 2 14-16,16-15,15-5,5-19
12 7 0 12-20,20-7
12 7 1 12-5,5-7
12 7 2 12-20,20-5,5-7
10 19 0 10-16,16-20,20-19
10 19 1 10-15,15-5,5-19
10 19 2 10-16,16-15,15-5,5-19
15 10 0 15-10
15 10 1 15-16,16-10
15 10 2 15-14,14-10
13 6 0 13-24,24-6
13 6 1 13-12,12-20,20-6
13 6 2 13-12,12-24,24-6
11 26 0 11-24,24-26
11 26 1 11-12,12-26
11 26 2 11-24,24-12,12-26
0 5 0 0-5
0 5 1 0-20,20-5
0 5 2 0-20,20-1,1-5
24 2 0 24-20,20-2
24 2 1 24-5,5-2
24 2 2 24-20,20-5,5-2
1 0 0 1-20,20-0
1 0 1 1-5,5-0
1 0 2 1-20,20-5,5-0
25 3 0 25-24,24-5,5-3
25 3 1 25-12,12-20,20-3
25 3 2 25-24,24-20,20-3
4 11 0 4-20,20-24,24-11
4 11 1 4-5,5-12,12-11
4 11 2 4-20,20-12,12-11
2 7 0 2-20,20-7
2 7 1 2-5,5-7
2 7 2 2-20,20-5,5-7
5 10 0 5-15,15-10
5 10 1 5-20,20-16,16-10
5 10 2 5-24,24-15,15-14,14-10
3 22 0 3-20,20-21,21-22
3 22 1 3-5,5-12,12-22
3 22 2 3-20,20-12,12-22
6 1 0 6-20,20-1
6 1 1 6-5,5-1
6 1 2 6-20,20-5,5-1
4 17 0 4-20,20-16,16-17
4 17 1 4-5,5-15,15-17
4 17 2 4-20,20-5,5-15,15-17
7 4 0 7-20,20-4
7 4 1 7-5,5-4
7 4 2 7-20,20-5,5-4
5 20 0 5-20
5 20 1 5-1,1-20
5 20 2 5-3,3-20
