s t h tm
0 1 0 0.019186343434
0 2 0 0.047164260518
0 3 0 0.025947827553
0 4 0 0.055532488923
0 5 0 0.001082039316
0 6 0 0.015543208967
0 7 0 0.017566028847
0 8 0 0.005788933391
0 9 0 0.016558353513
0 10 0 0.042569348559
0 11 0 0.023362909965
0 12 0 0.004952539684
0 13 0 0.016392019277
0 14 0 0.001099296488
0 15 0 0.018248905546
0 16 0 0.046647493426
0 17 0 0.019282491764
0 18 0 0.001294594781
0 19 0 0.004219259114
0 20 0 0.052584686200
0 21 0 0.002972754093
0 22 0 0.047829206250
0 23 0 0.132365618716
0 24 0 0.040910698264
0 25 0 0.046352816271
0 26 0 0.000548340300
1 0 0 0.001548590851
1 2 0 0.003841451407
1 3 0 0.002113407855
1 4 0 0.004523029841
1 5 0 0.000088130322
1 6 0 0.001265968793
1 7 0 0.001430724144
1 8 0 0.000471499099
1 9 0 0.001348650646
1 10 0 0.003467203390
1 11 0 0.001902870572
1 12 0 0.000403376208
1 13 0 0.001335102996
1 14 0 0.000089535890
1 15 0 0.001486343327
1 16 0 0.003799361578
1 17 0 0.001570527224
1 18 0 0.000105442615
1 19 0 0.000343651712
1 20 0 0.004282936160
1 21 0 0.000242125929
1 22 0 0.003895610143
1 23 0 0.010780961829
1 24 0 0.003332109053
1 25 0 0.003775360609
1 26 0 0.000044661415
2 0 0 0.005017452724
2 1 0 0.005063153900
2 3 0 0.006847466518
2 4 0 0.014654670330
2 5 0 0.000285543288
2 6 0 0.004101753905
2 7 0 0.004635563195
2 8 0 0.001527662672
2 9 0 0.004369644088
2 10 0 0.011233780106
2 11 0 0.006165323221
2 12 0 0.001306943697
2 13 0 0.004325749542
2 14 0 0.000290097345
2 15 0 0.004815770009
2 16 0 0.012309976576
2 17 0 0.005088526832
2 18 0 0.000341635322
2 19 0 0.001113435622
2 20 0 0.013876763956
2 21 0 0.000784490882
2 22 0 0.012621823068
2 23 0 0.034930444194
2 24 0 0.010796072851
2 25 0 0.012232213151
2 26 0 0.000144703515
3 0 0 0.001481056663
3 1 0 0.001494546781
3 2 0 0.003673925362
3 4 0 0.004325780098
3 5 0 0.000084286950
3 6 0 0.001210759779
3 7 0 0.001368330134
3 8 0 0.000450936980
3 9 0 0.001289835869
3 10 0 0.003315998335
3 11 0 0.001819886213
3 12 0 0.000385784934
3 13 0 0.001276879033
3 14 0 0.000085631222
3 15 0 0.001421523759
3 16 0 0.003633671074
3 17 0 0.001502036389
3 18 0 0.000100844253
3 19 0 0.000328665029
3 20 0 0.004096156924
3 21 0 0.000231566795
3 22 0 0.003725722231
3 23 0 0.010310803103
3 24 0 0.003186795474
3 25 0 0.003610716789
3 26 0 0.000042713727
4 0 0 0.019578911101
4 1 0 0.019757244475
4 2 0 0.048567661093
4 3 0 0.026719920569
4 5 0 0.001114236039
4 6 0 0.016005706378
4 7 0 0.018088716465
4 8 0 0.005961186541
4 9 0 0.017051057153
4 10 0 0.043836024801
4 11 0 0.024058087222
4 12 0 0.005099905442
4 13 0 0.016879773543
4 14 0 0.001132006708
