s t h tm
0 1 0 0.072251725251
0 2 0 0.007690827533
0 3 0 0.033110753208
0 4 0 0.021863249778
0 5 0 0.022062389918
0 6 0 0.054234216607
0 7 0 0.029837425300
0 8 0 0.063856848383
0 9 0 0.001244237777
0 10 0 0.017873147011
0 11 0 0.020199189025
0 12 0 0.006656698610
0 13 0 0.019040462443
0 14 0 0.048950524089
0 15 0 0.026865026732
0 16 0 0.005694928893
0 17 0 0.018849194588
0 18 0 0.001264081811
0 19 0 0.020984429425
0 20 0 0.053639985762
0 21 0 0.022172950951
0 22 0 0.001488655457
1 0 0 0.002073348310
1 2 0 0.000626405247
1 3 0 0.002696816363
1 4 0 0.001780725717
1 5 0 0.001796945354
1 6 0 0.004417287697
1 7 0 0.002430209191
1 8 0 0.005201035220
1 9 0 0.000101341119
1 10 0 0.001455738413
1 11 0 0.001645190707
1 12 0 0.000542177148
1 13 0 0.001550814334
1 14 0 0.003986939636
1 15 0 0.002188112219
1 16 0 0.000463842587
1 17 0 0.001535235882
1 18 0 0.000102957383
1 19 0 0.001709147246
1 20 0 0.004368888572
1 21 0 0.001805950368
1 22 0 0.000121248537
2 0 0 0.006717673116
2 1 0 0.019066770369
2 3 0 0.008737717002
2 4 0 0.005769572444
2 5 0 0.005822124259
2 6 0 0.014312064530
2 7 0 0.007873906604
2 8 0 0.016851415802
2 9 0 0.000328346429
2 10 0 0.004716609723
2 11 0 0.005330437404
2 12 0 0.001756660389
2 13 0 0.005024656835
2 14 0 0.012917731708
2 15 0 0.007089509543
2 16 0 0.001502855483
2 17 0 0.004974182465
2 18 0 0.000333583143
2 19 0 0.005537657347
2 20 0 0.014155250793
2 21 0 0.005851300612
2 22 0 0.000392846699
3 0 0 0.001982929402
3 1 0 0.005628148156
3 2 0 0.000599087657
3 4 0 0.001703068107
3 5 0 0.001718580404
3 6 0 0.004224649379
3 7 0 0.002324227548
3 8 0 0.004974217602
3 9 0 0.000096921624
3 10 0 0.001392253528
3 11 0 0.001573443791
3 12 0 0.000518532753
3 13 0 0.001483183180
3 14 0 0.003813068836
3 15 0 0.002092688446
3 16 0 0.000443614370
3 17 0 0.001468284105
3 18 0 0.000098467403
3 19 0 0.001634611179
3 20 0 0.004178360945
3 21 0 0.001727192708
3 22 0 0.000115960878
4 0 0 0.026213445747
4 1 0 0.074401618235
4 2 0 0.007919672673
4 3 0 0.034095983329
4 5 0 0.022718869429
4 6 0 0.055847987923
4 7 0 0.030725255605
4 8 0 0.065756946821
4 9 0 0.001281260811
4 10 0 0.018404973112
4 11 0 0.020800227888
4 12 0 0.006854772630
4 13 0 0.019607022709
4 14 0 0.050407075997
4 15 0 0.027664411553
4 16 0 0.005864384884
4 17 0 0.019410063564
4 18 0 0.001301695316
4 19 0 0.021608833582
4 20 0 0.055236075387
4 21 0 0.022832720271
4 22 0 0.001532951284
5 0 0 0.007291840527
5 1 0 0.020696429625
5 2 0 0.002203029343
5 3 0 0.009484539936
5 4 0 0.006262704577
5 6 0 0.015535333494
5 7 0 0.008546898649
5 8 0 0.018291726102
5 9 0 0.000356410584
5 10 0 0.005119743895
5 11 0 0.005786036149
5 12 0 0.001906804216
5 13 0 0.005454120156
5 14 0 0.014021825408
5 15 0 0.007695458250
5 16 0 0.001631306307
5 17 0 0.005399331683
5 18 0 0.000362094886
5 19 0 0.006010967424
5 20 0 0.015365116702
5 21 0 0.006351418147
5 22 0 0.000426423768
6 0 0 0.000593816169
6 1 0 0.001685428322
6 2 0 0.000179405246
6 3 0 0.000772380189
6 4 0 0.000510007758
6 5 0 0.000514653134
6 7 0 0.000696022711
6 8 0 0.001489599597
6 9 0 0.000029024547
6 10 0 0.000416929950
6 11 0 0.000471189929
6 12 0 0.000155281944
6 13 0 0.000444160116
6 14 0 0.001141877227
6 15 0 0.000626685062
6 16 0 0.000132846578
6 17 0 0.000439698378
6 18 0 0.000029487452
6 19 0 0.000489507365
6 20 0 0.001251269100
6 21 0 0.000517232210
6 22 0 0.000034726120
7 0 0 0.005892791405
7 1 0 0.016725508759
7 2 0 0.001780345076
7 3 0 0.007664788500
7 4 0 0.005061110643
7 5 0 0.005107209476
7 6 0 0.012554646436
7 8 0 0.014782183723
7 9 0 0.000288027860
7 10 0 0.004137444135
7 11 0 0.004675898213
7 12 0 0.001540955189
7 13 0 0.004407665288
7 14 0 0.011331527608
7 15 0 0.006218969006
7 16 0 0.001318315691
7 17 0 0.004363388806
7 18 0 0.000292621544
7 19 0 0.004857673044
7 20 0 0.012417088292
7 21 0 0.005132803183
7 22 0 0.000344607963
8 0 0 0.007149422117
8 1 0 0.020292203477
8 2 0 0.002160001532
8 3 0 0.009299295471
8 4 0 0.006140386429
8 5 0 0.006196315781
8 6 0 0.015231909757
8 7 0 0.008379967445
8 9 0 0.000349449457
8 10 0 0.005019749143
8 11 0 0.005673027908
8 12 0 0.001869562038
8 13 0 0.005347594633
8 14 0 0.013747962304
8 15 0 0.007545156700
8 16 0 0.001599444934
8 17 0 0.005293876245
8 18 0 0.000355022738
8 19 0 0.005893566005
8 20 0 0.015065017504
8 21 0 0.006227367316
8 22 0 0.000418095199
9 0 0 0.011857188623
9 1 0 0.033654256285
9 2 0 0.003582323882
9 3 0 0.015422715103
9 4 0 0.010183720993
9 5 0 0.010276478824
9 6 0 0.025261849717
9 7 0 0.013898026025
9 8 0 0.029743992044
9 10 0 0.008325164112
9 11 0 0.009408615252
9 12 0 0.003100635179
9 13 0 0.008868889990
9 14 0 0.022800749425
9 15 0 0.012513507347
9 16 0 0.002652650796
9 17 0 0.008779799004
9 18 0 0.000588798857
9 19 0 0.009774373739
9 20 0 0.024985061902
9 21 0 0.010327977239
9 22 0 0.000693403404
10 0 0 0.013503759564
10 1 0 0.038327718284
10 2 0 0.004079790068
10 3 0 0.017564419628
10 4 0 0.011597902685
10 5 0 0.011703541507
10 6 0 0.028769884293
10 7 0 0.015828001715
10 8 0 0.033874447798
10 9 0 0.000660036765
10 11 0 0.010715160418
10 12 0 0.003531210752
10 13 0 0.010100485186
10 14 0 0.025967018651
10 15 0 0.014251219230
10 16 0 0.003021016170
10 17 0 0.009999022411
10 18 0 0.000670563524
10 19 0 0.011131710649
10 20 0 0.028454659815
10 21 0 0.011762191347
10 22 0 0.000789694181
11 0 0 0.001485031478
11 1 0 0.004214964570
11 2 0 0.000448661474
11 3 0 0.001931589193
11 4 0 0.001275441145
11 5 0 0.001287058427
11 6 0 0.003163873259
11 7 0 0.001740632352
11 8 0 0.003725230817
11 9 0 0.000072585369
11 10 0 0.001042669654
11 12 0 0.000388333271
11 13 0 0.001110767588
11 14 0 0.002855637343
11 15 0 0.001567230892
11 16 0 0.000332226302
11 17 0 0.001099609554
11 18 0 0.000073743015
11 19 0 0.001224173212
11 20 0 0.003129207486
11 21 0 0.001293508250
11 22 0 0.000086844016
12 0 0 0.022957135161
12 1 0 0.065159232499
12 2 0 0.006935867865
12 3 0 0.029860480964
12 4 0 0.019717073475
12 5 0 0.019896665293
12 6 0 0.048910388188
12 7 0 0.026908474857
12 8 0 0.057588427349
12 9 0 0.001122098861
12 10 0 0.016118653742
12 11 0 0.018216362992
12 13 0 0.017171381236
12 14 0 0.044145362190
12 15 0 0.024227857769
12 16 0 0.005135893912
12 17 0 0.016998888930
12 18 0 0.001139994932
12 19 0 0.018924521332
12 20 0 0.048374489209
12 21 0 0.019996373251
12 22 0 0.001342523610
13 0 0 0.012329606046
13 1 0 0.034995118570
13 2 0 0.003725051831
13 3 0 0.016037191229
13 4 0 0.010589463652
13 5 0 0.010685917166
13 6 0 0.026268339394
13 7 0 0.014451755063
13 8 0 0.030929060488
13 9 0 0.000602646489
13 10 0 0.008656857628
13 11 0 0.009783475931
13 12 0 0.003224171552
13 14 0 0.023709183256
13 15 0 0.013012074004
13 16 0 0.002758338450
13 17 0 0.009129606210
13 18 0 0.000612257945
13 19 0 0.010163807069
13 20 0 0.025980523722
13 21 0 0.010739467395
13 22 0 0.000721030177
14 0 0 0.008852797127
14 1 0 0.025126892456
14 2 0 0.002674629508
14 3 0 0.011514885383
14 4 0 0.007603355131
14 5 0 0.007672609849
14 6 0 0.018860965927
14 7 0 0.010376524216
14 8 0 0.022207416589
14 9 0 0.000432707021
14 10 0 0.006215722064
14 11 0 0.007024646797
14 12 0 0.002314991781
14 13 0 0.006621677897
14 15 0 0.009342816870
14 16 0 0.001980518325
14 17 0 0.006555160913
14 18 0 0.000439608156
14 19 0 0.007297728872
14 20 0 0.018654311007
14 21 0 0.007711059522
14 22 0 0.000517707853
15 0 0 0.006075368572
15 1 0 0.017243717498
15 2 0 0.001835505752
15 3 0 0.007902267697
15 4 0 0.005217919731
15 5 0 0.005265446849
15 6 0 0.012943628774
15 7 0 0.007121049788
15 8 0 0.015240182155
15 9 0 0.000296951867
15 10 0 0.004265635136
15 11 0 0.004820772210
15 12 0 0.001588698815
15 13 0 0.004544228588
15 14 0 0.011682613887
15 16 0 0.001359161247
15 17 0 0.004498580282
15 18 0 0.000301687878
15 19 0 0.005008178997
15 20 0 0.012801808647
15 21 0 0.005291833530
15 22 0 0.000355284999
16 0 0 0.002267226900
16 1 0 0.006435069693
16 2 0 0.000684980338
16 3 0 0.002948995387
16 4 0 0.001947241198
16 5 0 0.001964977531
16 6 0 0.004830347821
16 7 0 0.002657457806
16 8 0 0.005687383496
16 9 0 0.000110817517
16 10 0 0.001591864364
16 11 0 0.001799032323
16 12 0 0.000592876078
16 13 0 0.001695830825
16 14 0 0.004359757957
16 15 0 0.002392722371
16 17 0 0.001678795633
16 18 0 0.000112584918
16 19 0 0.001868969431
16 20 0 0.004777422899
16 21 0 0.001974824604
16 22 0 0.000132586476
17 0 0 0.003272496804
17 1 0 0.009288327077
17 2 0 0.000988695029
17 3 0 0.004256555875
17 4 0 0.002810632053
17 5 0 0.002836232532
17 6 0 0.006972084623
17 7 0 0.003835752909
17 8 0 0.008209122922
17 9 0 0.000159953100
17 10 0 0.002297684031
17 11 0 0.002596708573
17 12 0 0.000855752492
17 13 0 0.002447748372
17 14 0 0.006292839053
17 15 0 0.003453635942
17 16 0 0.000732112099
17 18 0 0.000162504152
17 19 0 0.002697655223
17 20 0 0.006895693223
17 21 0 0.002850445716
17 22 0 0.000191374237
18 0 0 0.004720600777
18 1 0 0.013398480316
18 2 0 0.001426199872
18 3 0 0.006140113244
18 4 0 0.004054357467
18 5 0 0.004091286346
18 6 0 0.010057283492
18 7 0 0.005533101862
18 8 0 0.011841720362
18 9 0 0.000230733527
18 10 0 0.003314426162
18 11 0 0.003745771269
18 12 0 0.001234429282
18 13 0 0.003530895081
18 14 0 0.009077466748
18 15 0 0.004981895319
18 16 0 0.001056077103
18 17 0 0.003495426051
18 19 0 0.003891387557
18 20 0 0.009947088334
18 21 0 0.004111788969
18 22 0 0.000276058748
19 0 0 0.008358787979
19 1 0 0.023724746381
19 2 0 0.002525378211
19 3 0 0.010872324773
19 4 0 0.007179068102
19 5 0 0.007244458226
19 6 0 0.017808474880
19 7 0 0.009797487125
19 8 0 0.020968184875
19 9 0 0.000408560842
19 10 0 0.005868868576
19 11 0 0.006632653200
19 12 0 0.002185809207
19 13 0 0.006252171016
19 14 0 0.016073509182
19 15 0 0.008821463343
19 16 0 0.001870000241
19 17 0 0.006189365853
19 18 0 0.000415076875
