s t h tm
0 1 0 0.079854761062
0 2 0 0.101383214076
0 3 0 0.090539443406
0 4 0 0.038035670555
0 5 0 0.059501897356
0 6 0 0.168884224306
0 7 0 0.017976864050
0 8 0 0.077394468469
0 9 0 0.051104080446
0 10 0 0.051569558992
0 11 0 0.126769341088
0 12 0 0.069743254013
0 13 0 0.149261685701
0 14 0 0.002908333761
0 15 0 0.041777446259
0 16 0 0.047214434787
0 17 0 0.015559647570
1 0 0 0.003673136713
1 2 0 0.008257495954
1 3 0 0.007374288677
1 4 0 0.003097942777
1 5 0 0.004846331626
1 6 0 0.013755342160
1 7 0 0.001464185995
1 8 0 0.006303652099
1 9 0 0.004162343257
1 10 0 0.004200255719
1 11 0 0.010325154225
1 12 0 0.005680473273
1 13 0 0.012157118681
1 14 0 0.000236878999
1 15 0 0.003402704250
1 16 0 0.003845538019
1 17 0 0.001267307690
2 0 0 0.011901006516
2 1 0 0.021073163122
2 3 0 0.023892782778
2 4 0 0.010037371340
2 5 0 0.015702171948
2 6 0 0.044567471747
2 7 0 0.004743979990
2 8 0 0.020423907568
2 9 0 0.013486041522
2 10 0 0.013608878347
2 11 0 0.033453622152
2 12 0 0.018404800777
2 13 0 0.039389208718
2 14 0 0.000767490766
2 15 0 0.011024802130
2 16 0 0.012459588793
2 17 0 0.004106091947
3 0 0 0.003512950887
3 1 0 0.006220397156
3 2 0 0.007897385805
3 4 0 0.002962841211
3 5 0 0.004634982663
3 6 0 0.013155470438
3 7 0 0.001400332711
3 8 0 0.006028749258
3 9 0 0.003980823090
3 10 0 0.004017082185
3 11 0 0.009874873310
3 12 0 0.005432747317
3 13 0 0.011626945630
3 14 0 0.000226548684
3 15 0 0.003254312009
3 16 0 0.003677833756
3 17 0 0.001212040287
4 0 0 0.046439650045
4 1 0 0.082230886890
4 2 0 0.104399931807
4 3 0 0.093233498301
4 5 0 0.061272411640
4 6 0 0.173909474674
4 7 0 0.018511776314
4 8 0 0.079697386830
4 9 0 0.052624712702
4 10 0 0.053104041839
4 11 0 0.130541438101
4 12 0 0.071818505946
4 13 0 0.153703055783
4 14 0 0.002994872959
4 15 0 0.043020558978
4 16 0 0.048619328327
4 17 0 0.016022634122
5 0 0 0.012918199520
5 1 0 0.022874311123
5 2 0 0.029041113524
5 3 0 0.025934926983
5 4 0 0.010895277257
5 6 0 0.048376705899
5 7 0 0.005149453531
5 8 0 0.022169562934
5 9 0 0.014638709330
5 10 0 0.014772045163
5 11 0 0.036312942527
5 12 0 0.019977880715
5 13 0 0.042755850648
5 14 0 0.000833089103
5 15 0 0.011967104916
5 16 0 0.013524524480
5 17 0 0.004457044449
