i j cap
0 11 1
11 0 1
0 4 1
4 0 1
1 3 1
3 1 1
1 18 1
18 1 1
2 13 1
13 2 1
2 12 1
12 2 1
3 11 1
11 3 1
4 17 1
17 4 1
5 12 1
12 5 1
5 17 1
17 5 1
6 17 1
17 6 1
6 18 1
18 6 1
7 11 1
11 7 1
7 17 1
17 7 1
8 12 1
12 8 1
8 17 1
17 8 1
9 13 1
13 9 1
9 20 1
20 9 1
10 14 1
14 10 1
10 12 1
12 10 1
11 13 1
13 11 1
11 16 1
16 11 1
11 18 1
18 11 1
12 13 1
13 12 1
12 27 1
27 12 1
12 26 1
26 12 1
12 17 1
17 12 1
12 23 1
23 12 1
12 24 1
24 12 1
13 14 1
14 13 1
13 28 1
28 13 1
13 19 1
19 13 1
14 26 1
26 14 1
14 21 1
21 14 1
14 20 1
20 14 1
14 28 1
28 14 1
14 25 1
25 14 1
14 19 1
19 14 1
15 16 1
16 15 1
15 17 1
17 15 1
17 18 1
18 17 1
21 22 1
22 21 1
22 23 1
23 22 1
24 25 1
25 24 1
27 28 1
28 27 1
