s t h tm
0 1 0 0.015823797745
0 2 0 0.033865450630
0 3 0 0.000659861457
0 4 0 0.009478735532
0 5 0 0.010712314435
0 6 0 0.003530272850
0 7 0 0.010097802463
0 8 0 0.025960121723
0 9 0 0.014247434058
0 10 0 0.003020213778
0 11 0 0.009996366637
0 12 0 0.000670385420
0 13 0 0.011128754029
0 14 0 0.028447102161
0 15 0 0.011759067269
0 16 0 0.000789484435
0 17 0 0.002573036325
0 18 0 0.032067788225
0 19 0 0.001812878531
0 20 0 0.029167747644
0 21 0 0.080720699049
0 22 0 0.024948624835
0 23 0 0.028267398805
0 24 0 0.000334395085
0 25 0 0.000546695739
0 26 0 0.003402163848
0 27 0 0.032576775866
0 28 0 0.021236905804
1 0 0 0.002342637355
1 2 0 0.002758285226
1 3 0 0.000053744630
1 4 0 0.000772027411
1 5 0 0.000872500383
1 6 0 0.000287534914
1 7 0 0.000822449394
1 8 0 0.002114409195
1 9 0 0.001160430059
1 10 0 0.000245991442
1 11 0 0.000814187613
1 12 0 0.000054601789
1 13 0 0.000906418703
1 14 0 0.002316969660
1 15 0 0.000957756679
1 16 0 0.000064302208
1 17 0 0.000209569575
1 18 0 0.002611868581
1 19 0 0.000147655973
1 20 0 0.002375665048
1 21 0 0.006574568107
1 22 0 0.002032024438
1 23 0 0.002302333117
1 24 0 0.000027235929
1 25 0 0.000044527468
1 26 0 0.000277100647
1 27 0 0.002653324787
1 28 0 0.001729711031
2 0 0 0.007590172817
2 1 0 0.004175799497
2 3 0 0.000174133238
2 4 0 0.002501377969
2 5 0 0.002826911589
2 6 0 0.000931616533
2 7 0 0.002664745791
2 8 0 0.006850710871
2 9 0 0.003759807155
2 10 0 0.000797015190
2 11 0 0.002637977523
2 12 0 0.000176910445
2 13 0 0.002936807347
2 14 0 0.007507009178
2 15 0 0.003103142999
2 16 0 0.000208339917
2 17 0 0.000679007907
2 18 0 0.008462485182
2 19 0 0.000478407104
2 20 0 0.007697182933
2 21 0 0.021301678644
2 22 0 0.006583783281
2 23 0 0.007459586606
2 24 0 0.000088244734
2 25 0 0.000144269526
2 26 0 0.000897809383
2 27 0 0.008596803781
2 28 0 0.005604284256
3 0 0 0.002240474727
3 1 0 0.001232616630
3 2 0 0.002637996157
3 4 0 0.000738359226
3 5 0 0.000834450562
3 6 0 0.000274995491
3 7 0 0.000786582301
3 8 0 0.002022199618
3 9 0 0.001109823599
3 10 0 0.000235263733
3 11 0 0.000778680817
3 12 0 0.000052220600
3 13 0 0.000866889701
3 14 0 0.002215926402
3 15 0 0.000915988823
3 16 0 0.000061497983
3 17 0 0.000200430226
3 18 0 0.002497964755
3 19 0 0.000141216683
3 20 0 0.002272062080
3 21 0 0.006287850594
3 22 0 0.001943407668
3 23 0 0.002201928160
3 24 0 0.000026048168
3 25 0 0.000042585621
3 26 0 0.000265016263
3 27 0 0.002537613052
3 28 0 0.001654278176
4 0 0 0.029618080530
4 1 0 0.016294644242
4 2 0 0.034873137221
4 3 0 0.000679496026
4 5 0 0.011031065711
4 6 0 0.003635318215
4 7 0 0.010398268570
4 8 0 0.026732580558
4 9 0 0.014671374918
4 10 0 0.003110082032
4 11 0 0.010293814462
4 12 0 0.000690333137
4 13 0 0.011459896712
4 14 0 0.029293562576
4 15 0 0.012108965298
4 16 0 0.000812976013
4 17 0 0.002649598549
4 18 0 0.033021984304
4 19 0 0.001866821808
4 20 0 0.030035651294
4 21 0 0.083122591377
4 22 0 0.025690985980
4 23 0 0.029108512040
4 24 0 0.000344345209
4 25 0 0.000562962996
4 26 0 0.003503397253
4 27 0 0.033546117174
4 28 0 0.021868822546
5 0 0 0.008238913802
5 1 0 0.004532709984
5 2 0 0.009700722208
5 3 0 0.000189016610
5 4 0 0.002715173682
5 6 0 0.001011242892
5 7 0 0.002892504744
5 8 0 0.007436249175
5 9 0 0.004081162288
5 10 0 0.000865137015
5 11 0 0.002863448560
5 12 0 0.000192031189
5 13 0 0.003187819720
5 14 0 0.008148642069
5 15 0 0.003368372276
5 16 0 0.000226146974
5 17 0 0.000737043511
5 18 0 0.009185783730
5 19 0 0.000519297121
5 20 0 0.008355070199
5 21 0 0.023122358136
5 22 0 0.007146506971
5 23 0 0.008097166234
5 24 0 0.000095787115
5 25 0 0.000156600411
5 26 0 0.000974546205
5 27 0 0.009331582696
5 28 0 0.006083289014
6 0 0 0.000670941748
6 1 0 0.000369124430
6 2 0 0.000789985145
6 3 0 0.000015392701
