s t h tm
0 1 0 0.079653667864
0 2 0 0.071134051325
0 3 0 0.029883454544
0 4 0 0.046748807605
0 5 0 0.132687132015
0 6 0 0.014123868249
0 7 0 0.060806449490
0 8 0 0.040150901581
0 9 0 0.040516613734
0 10 0 0.099598765756
0 11 0 0.054795126013
0 12 0 0.117270307969
0 13 0 0.002284988236
0 14 0 0.032823252437
0 15 0 0.037094926820
0 16 0 0.012224735731
0 17 0 0.034966976153
0 18 0 0.089895495636
1 0 0 0.005110022972
1 2 0 0.005793751425
1 3 0 0.002433958198
1 4 0 0.003807613451
1 5 0 0.010807148558
1 6 0 0.001150365827
1 7 0 0.004952585250
1 8 0 0.003270224863
1 9 0 0.003300011516
1 10 0 0.008112155575
1 11 0 0.004462972845
1 12 0 0.009551473609
1 13 0 0.000186108532
1 14 0 0.002673399898
1 15 0 0.003021320748
1 16 0 0.000995684609
1 17 0 0.002848002667
1 18 0 0.007321840191
2 0 0 0.016556535038
2 1 0 0.021020095907
2 3 0 0.007886053428
2 4 0 0.012336712743
2 5 0 0.035015289507
2 6 0 0.003727198924
2 7 0 0.016046434952
2 8 0 0.010595567343
2 9 0 0.010692076452
2 10 0 0.026283480278
2 11 0 0.014460084952
2 12 0 0.030946887779
2 13 0 0.000602993850
2 14 0 0.008661847379
2 15 0 0.009789115057
2 16 0 0.003226029942
2 17 0 0.009227562421
2 18 0 0.023722849061
3 0 0 0.004887174406
3 1 0 0.006204732723
3 2 0 0.005541085399
3 4 0 0.003641563083
3 5 0 0.010335847827
3 6 0 0.001100198269
3 7 0 0.004736602557
3 8 0 0.003127610059
3 9 0 0.003156097714
3 10 0 0.007758383733
3 11 0 0.004268342193
3 12 0 0.009134932976
3 13 0 0.000177992322
3 14 0 0.002556812686
3 15 0 0.002889560675
3 16 0 0.000952262712
3 17 0 0.002723801012
3 18 0 0.007002534075
4 0 0 0.064606274443
4 1 0 0.082023810045
4 2 0 0.073250687258
4 3 0 0.030772654477
4 5 0 0.136635316411
4 6 0 0.014544132335
4 7 0 0.062615781498
4 8 0 0.041345615497
4 9 0 0.041722209632
4 10 0 0.102562386167
4 11 0 0.056425587522
4 12 0 0.120759755612
4 13 0 0.002352979417
4 14 0 0.033799927802
4 15 0 0.038198708392
4 16 0 0.012588490001
4 17 0 0.036007439290
4 18 0 0.092570389483
5 0 0 0.017971641533
5 1 0 0.022816708191
5 2 0 0.020376273122
5 3 0 0.008560083677
5 4 0 0.013391146070
5 6 0 0.004045766994
5 7 0 0.017417942593
5 8 0 0.011501182928
5 9 0 0.011605940784
5 10 0 0.028529960206
5 11 0 0.015696005395
5 12 0 0.033591954623
5 13 0 0.000654532443
5 14 0 0.009402185647
5 15 0 0.010625802217
5 16 0 0.003501762510
5 17 0 0.010016253019
5 18 0 0.025750468831
6 0 0 0.001463533285
6 1 0 0.001858094700
6 2 0 0.001659356152
6 3 0 0.000697096443
6 4 0 0.001090517411
6 5 0 0.003095215367
6 7 0 0.001418442422
6 8 0 0.000936606931
6 9 0 0.000945137961
6 10 0 0.002323357402
6 11 0 0.001278215253
6 12 0 0.002735584482
6 13 0 0.000053302310
6 14 0 0.000765673610
