s t h tm
0 1 0 0.022325180422
0 2 0 0.345125468472
0 3 0 0.185356797918
0 4 0 0.133088285385
0 5 0 0.091333888562
0 6 0 0.034084294081
0 7 0 0.049196991905
0 8 0 0.070967023681
0 9 0 0.125661612256
1 0 0 0.016534700359
1 2 0 0.028109901482
1 3 0 0.015097006175
1 4 0 0.010839821840
1 5 0 0.007438994928
1 6 0 0.002776109665
1 7 0 0.004007014034
1 8 0 0.005780147298
1 9 0 0.010234931534
2 0 0 0.053572625276
2 1 0 0.005891473000
2 3 0 0.048914479066
2 4 0 0.035121151328
2 5 0 0.024102431798
2 6 0 0.008994628241
2 7 0 0.012982772996
2 8 0 0.018727745803
2 9 0 0.033161299564
3 0 0 0.015813620573
3 1 0 0.001739050834
3 2 0 0.026884026123
3 4 0 0.010367096224
3 5 0 0.007114579683
3 6 0 0.002655043270
3 7 0 0.003832267788
3 8 0 0.005528074549
3 9 0 0.009788585240
4 0 0 0.209049038534
4 1 0 0.022989479421
4 2 0 0.355394881703
4 3 0 0.190872199495
4 5 0 0.094051582645
4 6 0 0.035098492488
4 7 0 0.050660877609
4 8 0 0.073078689607
4 9 0 0.129400748140
5 0 0 0.058151540476
5 1 0 0.006395024117
5 2 0 0.098860822290
5 3 0 0.053095257039
5 4 0 0.038122997380
5 6 0 0.009763409681
5 7 0 0.014092425852
5 8 0 0.020328428231
5 9 0 0.035995634784
6 0 0 0.004735611652
6 1 0 0.000520783293
6 2 0 0.008050800686
6 3 0 0.004323849650
6 4 0 0.003104573140
6 5 0 0.002130561201
6 7 0 0.001147626624
6 8 0 0.001655459869
6 9 0 0.002931329869
7 0 0 0.046994294051
7 1 0 0.005168042692
7 2 0 0.079892888731
7 3 0 0.042908134532
7 4 0 0.030808527758
7 5 0 0.021142827356
7 6 0 0.007890152896
7 8 0 0.016428113960
7 9 0 0.029089331628
8 0 0 0.057015770991
8 1 0 0.006270121609
8 2 0 0.096929951598
8 3 0 0.052058242847
8 4 0 0.037378409416
8 5 0 0.025651509976
8 6 0 0.009572718554
8 7 0 0.013817183835
8 9 0 0.035292596769
9 0 0 0.094559635742
9 1 0 0.010398884468
9 2 0 0.160756589909
9 3 0 0.086337664043
9 4 0 0.061991423032
9 5 0 0.042542570194
9 6 0 0.015876182393
9 7 0 0.022915552096
9 8 0 0.033055852915
