i j cap
0 4 1
4 0 1
0 1 1
1 0 1
1 8 1
8 1 1
1 39 1
39 1 1
1 44 1
44 1 1
1 47 1
47 1 1
2 32 1
32 2 1
2 6 1
6 2 1
2 3 1
3 2 1
2 5 1
5 2 1
2 4 1
4 2 1
2 33 1
33 2 1
3 7 1
7 3 1
3 6 1
6 3 1
3 29 1
29 3 1
3 23 1
23 3 1
3 24 1
24 3 1
3 5 1
5 3 1
4 5 1
5 4 1
6 15 1
15 6 1
6 29 1
29 6 1
6 25 1
25 6 1
6 22 1
22 6 1
7 33 1
33 7 1
8 9 1
9 8 1
8 10 1
10 8 1
9 43 1
43 9 1
9 41 1
41 9 1
10 43 1
43 10 1
10 44 1
44 10 1
11 29 1
29 11 1
11 12 1
12 11 1
12 13 1
13 12 1
12 27 1
27 12 1
12 28 1
28 12 1
12 29 1
29 12 1
13 14 1
14 13 1
14 15 1
15 14 1
14 29 1
29 14 1
15 29 1
29 15 1
16 37 1
37 16 1
16 17 1
17 16 1
17 19 1
19 17 1
17 18 1
18 17 1
18 37 1
37 18 1
19 36 1
36 19 1
20 32 1
32 20 1
20 31 1
31 20 1
21 30 1
30 21 1
21 41 1
41 21 1
21 26 1
26 21 1
22 24 1
24 22 1
23 24 1
24 23 1
23 25 1
25 23 1
24 25 1
25 24 1
26 41 1
41 26 1
26 42 1
42 26 1
27 29 1
29 27 1
28 29 1
29 28 1
28 34 1
34 28 1
29 32 1
32 29 1
29 34 1
34 29 1
29 36 1
36 29 1
30 32 1
32 30 1
30 36 1
36 30 1
30 37 1
37 30 1
30 31 1
31 30 1
32 34 1
34 32 1
32 37 1
37 32 1
32 33 1
33 32 1
34 35 1
35 34 1
35 36 1
36 35 1
36 37 1
37 36 1
38 46 1
46 38 1
38 47 1
47 38 1
39 40 1
40 39 1
39 44 1
44 39 1
40 41 1
41 40 1
41 42 1
42 41 1
42 45 1
45 42 1
44 45 1
45 44 1
44 47 1
47 44 1
45 46 1
46 45 1
46 47 1
47 46 1
