s t k edges
31 6 0 31-20,20-32,32-2,2-6
31 6 1 31-30,30-36,36-29,29-6
31 6 2 31-30,30-32,32-2,2-6
40 22 0 40-41,41-21,21-30,30-36,36-29,29-6,6-22
40 22 1 40-39,39-1,1-0,0-4,4-5,5-3,3-24,24-22
40 22 2 40-41,41-21,21-30,30-32,32-2,2-6,6-22
21 28 0 21-30,30-36,36-29,29-28
21 28 1 21-41,41-40,40-39,39-1,1-0,0-4,4-2,2-32,32-34,34-28
21 28 2 21-30,30-32,32-34,34-28
4 36 0 4-2,2-32,32-37,37-36
4 36 1 4-5,5-3,3-29,29-36
4 36 2 4-0,0-1,1-39,39-40,40-41,41-21,21-30,30-36
43 3 0 43-9,9-41,41-21,21-30,30-36,36-29,29-3
43 3 1 43-10,10-44,44-1,1-0,0-4,4-5,5-3
43 3 2 43-9,9-8,8-1,1-0,0-4,4-2,2-3
7 25 0 7-3,3-24,24-25
7 25 1 7-33,33-2,2-6,6-25
7 25 2 7-3,3-6,6-25
46 12 0 46-45,45-42,42-41,41-21,21-30,30-36,36-29,29-12
46 12 1 46-47,47-1,1-0,0-4,4-5,5-3,3-29,29-27,27-12
46 12 2 46-45,45-42,42-41,41-21,21-30,30-32,32-29,29-12
29 44 0 29-32,32-2,2-4,4-0,0-1,1-44
29 44 1 29-36,36-30,30-21,21-41,41-42,42-45,45-44
29 44 2 29-3,3-2,2-4,4-0,0-1,1-44
33 41 0 33-32,32-30,30-21,21-41
33 41 1 33-2,2-4,4-0,0-1,1-39,39-40,40-41
33 41 2 33-2,2-32,32-30,30-21,21-41
16 47 0 16-37,37-32,32-2,2-4,4-0,0-1,1-47
16 47 1 16-17,17-18,18-37,37-30,30-21,21-41,41-42,42-45,45-44,44-47
16 47 2 16-37,37-30,30-32,32-2,2-4,4-0,0-1,1-47
36 34 0 36-35,35-34
36 34 1 36-29,29-34
36 34 2 36-37,37-32,32-34
44 34 0 44-1,1-0,0-4,4-2,2-32,32-34
44 34 1 44-39,39-40,40-41,41-21,21-30,30-36,36-35,35-34
44 34 2 44-47,47-1,1-0,0-4,4-2,2-32,32-34
9 0 0 9-8,8-1,1-0
9 0 1 9-41,41-21,21-30,30-32,32-2,2-4,4-0
9 0 2 9-41,41-40,40-39,39-1,1-0
34 8 0 34-32,32-2,2-4,4-0,0-1,1-8
34 8 1 34-35,35-36,36-30,30-21,21-41,41-9,9-8
34 8 2 34-32,32-30,30-21,21-41,41-9,9-8
15 30 0 15-29,29-32,32-30
15 30 1 15-14,14-29,29-36,36-30
15 30 2 15-6,6-2,2-32,32-37,37-30
37 13 0 37-32,32-29,29-12,12-13
37 13 1 37-36,36-29,29-14,14-13
37 13 2 37-36,36-29,29-12,12-13
24 14 0 24-3,3-29,29-14
24 14 1 24-25,25-6,6-15,15-14
24 14 2 24-22,22-6,6-29,29-12,12-13,13-14
13 20 0 13-12,12-29,29-32,32-20
13 20 1 13-14,14-29,29-36,36-30,30-31,31-20
13 20 2 13-14,14-29,29-32,32-20
3 2 0 3-2
3 2 1 3-5,5-2
3 2 2 3-6,6-2
28 10 0 28-34,34-32,32-2,2-4,4-0,0-1,1-44,44-10
28 10 1 28-29,29-32,32-30,30-21,21-41,41-9,9-8,8-10
28 10 2 28-34,34-32,32-30,30-21,21-41,41-9,9-8,8-10
31 15 0 31-30,30-36,36-29,29-15
31 15 1 31-20,20-32,32-2,2-6,6-15
31 15 2 31-20,20-32,32-29,29-15
