s t h tm
0 1 0 0.012797892583
0 2 0 0.035417710281
0 3 0 0.010946673861
0 4 0 0.012402847759
0 5 0 0.000146722072
0 6 0 0.000239872939
0 7 0 0.001492762760
0 8 0 0.014293667214
0 9 0 0.009318087998
0 10 0 0.001201961877
0 11 0 0.000491911598
0 12 0 0.006343129607
0 13 0 0.000652154375
0 14 0 0.000133525209
0 15 0 0.001564176759
0 16 0 0.029675024267
0 17 0 0.017650851137
0 18 0 0.001697560428
0 19 0 0.004553438396
0 20 0 0.006811867390
0 21 0 0.019979721607
0 22 0 0.003869730535
0 23 0 0.006162935991
0 24 0 0.003911302056
0 25 0 0.008185353505
0 26 0 0.000017136566
0 27 0 0.003022504093
0 28 0 0.002977487073
0 29 0 0.001529906072
0 30 0 0.007707036690
0 31 0 0.019751937633
0 32 0 0.009355960362
0 33 0 0.000365860009
0 34 0 0.007746684759
0 35 0 0.002047290802
0 36 0 0.009436273563
0 37 0 0.002669174378
0 38 0 0.015922368387
0 39 0 0.006676869438
0 40 0 0.007633916172
0 41 0 0.007709983980
0 42 0 0.004483873504
0 43 0 0.002652588100
0 44 0 0.000584715900
0 45 0 0.000470045901
0 46 0 0.009110433037
0 47 0 0.004783299534
1 0 0 0.000064786809
1 2 0 0.002884714220
1 3 0 0.000891588573
1 4 0 0.001010191540
1 5 0 0.000011950271
1 6 0 0.000019537256
1 7 0 0.000121583070
1 8 0 0.001164195674
1 9 0 0.000758942934
1 10 0 0.000097897817
1 11 0 0.000040065390
1 12 0 0.000516637468
1 13 0 0.000053116901
1 14 0 0.000010875409
1 15 0 0.000127399623
1 16 0 0.002416981894
1 17 0 0.001437632780
1 18 0 0.000138263503
1 19 0 0.000370870064
1 20 0 0.000554815390
1 21 0 0.001627315447
1 22 0 0.000315183184
1 23 0 0.000501960995
1 24 0 0.000318569116
1 25 0 0.000666683574
1 26 0 0.000001395745
1 27 0 0.000246177985
1 28 0 0.000242511422
1 29 0 0.000124608332
1 30 0 0.000627725456
1 31 0 0.001608762817
1 32 0 0.000762027576
1 33 0 0.000029798696
1 34 0 0.000630954726
1 35 0 0.000166748467
1 36 0 0.000768568954
1 37 0 0.000217399861
1 38 0 0.001296850704
1 39 0 0.000543820029
1 40 0 0.000621769910
1 41 0 0.000627965508
1 42 0 0.000365204118
1 43 0 0.000216048936
1 44 0 0.000047624148
1 45 0 0.000038284465
1 46 0 0.000742029779
1 47 0 0.000389591876
2 0 0 0.000209910028
2 1 0 0.003377282386
2 3 0 0.002888757550
2 4 0 0.003273032572
2 5 0 0.000038719021
2 6 0 0.000063300942
2 7 0 0.000393930590
2 8 0 0.003772007790
2 9 0 0.002458984108
2 10 0 0.000317190088
2 11 0 0.000129812339
2 12 0 0.001673911526
2 13 0 0.000172099388
2 14 0 0.000035236453
2 15 0 0.000412776290
2 16 0 0.007831050005
2 17 0 0.004657947257
2 18 0 0.000447975391
2 19 0 0.001201623407
2 20 0 0.001797608443
2 21 0 0.005272521349
2 22 0 0.001021197255
2 23 0 0.001626359577
