s t h tm
0 1 0 0.036747887251
0 2 0 0.104301521616
0 3 0 0.011102364842
0 4 0 0.047798193461
0 5 0 0.031561463915
0 6 0 0.031848939675
0 7 0 0.078291712705
0 8 0 0.043072865722
0 9 0 0.092182801571
0 10 0 0.001796163247
0 11 0 0.025801410593
0 12 0 0.029159250432
0 13 0 0.009609511629
0 14 0 0.027486529882
0 15 0 0.070664252357
0 16 0 0.038781955125
0 17 0 0.008221115095
0 18 0 0.027210418435
0 19 0 0.001824809800
0 20 0 0.030292811856
0 21 0 0.077433889849
1 0 0 0.001913264231
1 2 0 0.008495187301
1 3 0 0.000904269347
1 4 0 0.003893084203
1 5 0 0.002570629300
1 6 0 0.002594043727
1 7 0 0.006376731166
1 8 0 0.003508214034
1 9 0 0.007508137496
1 10 0 0.000146294541
1 11 0 0.002101482435
1 12 0 0.002374972964
1 13 0 0.000782678909
1 14 0 0.002238732628
1 15 0 0.005755487072
1 16 0 0.003158726427
1 17 0 0.000669596296
1 18 0 0.002216243805
1 19 0 0.000148627755
1 20 0 0.002467299677
1 21 0 0.006306862906
2 0 0 0.006198998800
2 1 0 0.009697533524
2 3 0 0.002929843409
2 4 0 0.012613638991
2 5 0 0.008328869420
2 6 0 0.008404732443
2 7 0 0.020660684610
2 8 0 0.011366655080
2 9 0 0.024326454537
2 10 0 0.000473996047
2 11 0 0.006808828014
2 12 0 0.007694940573
2 13 0 0.002535888949
2 14 0 0.007253520268
2 15 0 0.018647846378
2 16 0 0.010234311088
2 17 0 0.002169499941
2 18 0 0.007180656215
2 19 0 0.000481555690
2 20 0 0.007994080217
2 21 0 0.020434310619
3 0 0 0.001829826604
3 1 0 0.002862527547
3 2 0 0.008124711410
3 4 0 0.003723306447
3 5 0 0.002458523922
3 6 0 0.002480917244
3 7 0 0.006098641340
3 8 0 0.003355220501
3 9 0 0.007180706937
3 10 0 0.000139914623
3 11 0 0.002009836595
3 12 0 0.002271400177
3 13 0 0.000748546211
3 14 0 0.002141101295
3 15 0 0.005504489758
3 16 0 0.003020974080
3 17 0 0.000640395141
