i j cap
0 9 1
9 0 1
0 21 1
21 0 1
0 3 1
3 0 1
0 22 1
22 0 1
0 19 1
19 0 1
0 1 1
1 0 1
1 6 1
6 1 1
2 30 1
30 2 1
2 3 1
3 2 1
3 26 1
26 3 1
4 8 1
8 4 1
4 7 1
7 4 1
5 24 1
24 5 1
5 17 1
17 5 1
5 23 1
23 5 1
6 14 1
14 6 1
6 20 1
20 6 1
7 22 1
22 7 1
7 14 1
14 7 1
8 32 1
32 8 1
8 17 1
17 8 1
9 13 1
13 9 1
9 10 1
10 9 1
10 11 1
11 10 1
11 22 1
22 11 1
12 23 1
23 12 1
12 31 1
31 12 1
13 22 1
22 13 1
13 18 1
18 13 1
15 16 1
16 15 1
15 22 1
22 15 1
15 17 1
17 15 1
16 22 1
22 16 1
16 18 1
18 16 1
19 20 1
20 19 1
20 21 1
21 20 1
22 30 1
30 22 1
23 32 1
32 23 1
23 30 1
30 23 1
24 30 1
30 24 1
25 28 1
28 25 1
25 26 1
26 25 1
26 27 1
27 26 1
27 29 1
29 27 1
28 29 1
29 28 1
29 30 1
30 29 1
29 31 1
31 29 1
31 32 1
32 31 1
