s t h tm
0 1 0 0.014409618859
0 2 0 0.004748729749
0 3 0 0.013583010999
0 4 0 0.034920134377
0 5 0 0.019164868221
0 6 0 0.004062626211
0 7 0 0.013446565081
0 8 0 0.000901765763
0 9 0 0.014969790600
0 10 0 0.038265484296
0 11 0 0.015817653460
0 12 0 0.001061971236
0 13 0 0.003461107586
0 14 0 0.043135832951
0 15 0 0.002438584942
0 16 0 0.039234857144
0 17 0 0.108581064754
0 18 0 0.033559524145
0 19 0 0.038023757181
0 20 0 0.000449809959
0 21 0 0.000735385176
0 22 0 0.004576404534
0 23 0 0.043820495257
0 24 0 0.028566722928
0 25 0 0.003684888137
0 26 0 0.001508067139
0 27 0 0.019446309803
0 28 0 0.001999327904
0 29 0 0.000409351967
0 30 0 0.004795340426
0 31 0 0.090975551665
0 32 0 0.054112707881
1 0 0 0.001038489004
1 2 0 0.000386776224
1 3 0 0.001106313894
1 4 0 0.002844187482
1 5 0 0.001560946980
1 6 0 0.000330894220
1 7 0 0.001095200599
1 8 0 0.000073447337
1 9 0 0.001219264811
1 10 0 0.003116660728
1 11 0 0.001288321845
1 12 0 0.000086495810
1 13 0 0.000281901517
1 14 0 0.003513342611
1 15 0 0.000198618731
1 16 0 0.003195614551
1 17 0 0.008843749047
1 18 0 0.002733368017
1 19 0 0.003096972452
1 20 0 0.000036636281
1 21 0 0.000059895912
1 22 0 0.000372740619
1 23 0 0.003569107229
1 24 0 0.002326712574
1 25 0 0.000300128075
1 26 0 0.000122829587
1 27 0 0.001583869933
1 28 0 0.000162841968
1 29 0 0.000033341044
1 30 0 0.000390572587
1 31 0 0.007409808977
1 32 0 0.004407391011
2 0 0 0.003364716689
2 1 0 0.003802606691
2 3 0 0.003584470139
2 4 0 0.009215201175
2 5 0 0.005057486728
2 6 0 0.001072101196
2 7 0 0.003548462930
2 8 0 0.000237970245
2 9 0 0.003950432448
2 10 0 0.010098017723
2 11 0 0.004174178060
2 12 0 0.000280247449
2 13 0 0.000913364260
2 14 0 0.011383271731
2 15 0 0.000643527043
2 16 0 0.010353829047
2 17 0 0.028653851806
2 18 0 0.008856144796
2 19 0 0.010034227476
2 20 0 0.000118701985
2 21 0 0.000194063467
2 22 0 0.001207684025
2 23 0 0.011563949755
2 24 0 0.007538576337
2 25 0 0.000972418523
2 26 0 0.000397969318
2 27 0 0.005131757370
2 28 0 0.000527609907
2 29 0 0.000108025378
2 30 0 0.001265459813
2 31 0 0.024007868972
2 32 0 0.014279999151
3 0 0 0.000993200404
3 1 0 0.001122457208
3 2 0 0.000369908877
3 4 0 0.002720152207
3 5 0 0.001492873940
3 6 0 0.000316463893
3 7 0 0.001047438801
3 8 0 0.000070244292
3 9 0 0.001166092561
3 10 0 0.002980742870
3 11 0 0.001232138013
3 12 0 0.000082723720
3 13 0 0.000269607767
3 14 0 0.003360125420
3 15 0 0.000189956950
3 16 0 0.003056253510
3 17 0 0.008458072347
3 18 0 0.002614165590
3 19 0 0.002961913202
3 20 0 0.000035038569
3 21 0 0.000057283846
3 22 0 0.000356485366
3 23 0 0.003413458139
3 24 0 0.002225244427
3 25 0 0.000287039462
3 26 0 0.000117472977
3 27 0 0.001514797222
3 28 0 0.000155740415
3 29 0 0.000031887038
3 30 0 0.000373539681
3 31 0 0.007086666534
3 32 0 0.004215184288
4 0 0 0.013129668093
4 1 0 0.014838385624
4 2 0 0.004890031022
4 3 0 0.013987181557
4 5 0 0.019735130254
4 6 0 0.004183512066
4 7 0 0.013846675609
4 8 0 0.000928598339
4 9 0 0.015415225607
4 10 0 0.039404096501
4 11 0 0.016288317131
4 12 0 0.001093570821
4 13 0 0.003564094897
4 14 0 0.044419365272
4 15 0 0.002511146485
4 16 0 0.040402313613
4 17 0 0.111811958806
4 18 0 0.034558107712
4 19 0 0.039155176652
4 20 0 0.000463194322
4 21 0 0.000757266998
4 22 0 0.004712578168
4 23 0 0.045124400111
4 24 0 0.029416742730
4 25 0 0.003794534171
4 26 0 0.001552940572
4 27 0 0.020024946297
4 28 0 0.002058819093
4 29 0 0.000421532478
4 30 0 0.004938028627
4 31 0 0.093682583221
4 32 0 0.055722863634
5 0 0 0.003652302976
5 1 0 0.004127619951
5 2 0 0.001360268571
5 3 0 0.003890839011
5 4 0 0.010002835242
5 6 0 0.001163734945
5 7 0 0.003851754224
5 8 0 0.000258309841
5 9 0 0.004288080549
5 10 0 0.010961107158
5 11 0 0.004530949961
5 12 0 0.000304200528
5 13 0 0.000991430576
5 14 0 0.012356213335
5 15 0 0.000698530055
5 16 0 0.011238782976
5 17 0 0.031102930173
5 18 0 0.009613089893
5 19 0 0.010891864684
5 20 0 0.000128847583
5 21 0 0.000210650299
